Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86550.9, 391.728, 361.48, 121.179, 92.37, 1482.3, 0.7805, 800
1, 86383.3, 481.018, 346.232, 94.8468, 171.222, 1523.37, 0.839125, 800
2, 86230.4, 537.711, 343.344, 80.4231, 241.002, 1567.1, 0.851875, 800
3, 86083.8, 576.804, 348.049, 74.6812, 302.098, 1614.59, 0.86625, 800
4, 85937.8, 607.471, 355.891, 71.6051, 360.919, 1666.36, 0.859875, 800
5, 85790.3, 633.4, 365.876, 73.0187, 414.699, 1722.68, 0.87775, 800
6, 85639.2, 657.815, 378.128, 74.9371, 466.238, 1783.65, 0.87325, 800
7, 85483.5, 681.95, 391.953, 77.5333, 515.715, 1849.31, 0.864375, 800
8, 85322.5, 706.607, 407.269, 81.2922, 562.658, 1919.68, 0.870125, 800
9, 85155.2, 732.561, 425.014, 83.8321, 608.608, 1994.77, 0.85525, 800
10, 84981.3, 759.926, 442.804, 87.8577, 653.486, 2074.59, 0.865875, 800
11, 84800.4, 788.903, 462.205, 91.8777, 697.469, 2159.17, 0.864875, 800
12, 84611.8, 819.668, 483.537, 96.5892, 739.81, 2248.57, 0.865125, 800
13, 84414.9, 852.703, 507.012, 101.19, 781.386, 2342.85, 0.841625, 800
14, 84208.8, 888.181, 531.105, 109.074, 820.693, 2442.1, 0.854125, 800
15, 83992.5, 926.866, 558.624, 115.714, 859.822, 2546.45, 0.844, 800
16, 83765.2, 968.769, 588.974, 123.061, 897.916, 2656.04, 0.840375, 800
17, 83525.9, 1014.35, 622.042, 127.657, 939.009, 2771.03, 0.82175, 800
18, 83274.6, 1062.74, 657.909, 136.669, 976.377, 2891.65, 0.818375, 800
19, 83009.1, 1115.7, 697.109, 144.822, 1015.08, 3018.15, 0.810625, 800
20, 82728.7, 1172.99, 738.734, 156.86, 1051.91, 3150.79, 0.818625, 800
21, 82431.4, 1235.68, 787.186, 166.925, 1088.88, 3289.9, 0.789875, 800
22, 82115.8, 1304.12, 841.304, 177.153, 1125.75, 3435.83, 0.766625, 800
23, 81780.3, 1378.86, 899.958, 188.506, 1163.41, 3588.99, 0.7555, 800
24, 81423.1, 1460.24, 964.615, 201.423, 1200.76, 3749.84, 0.748375, 800
25, 81042.2, 1549.13, 1035.37, 215.88, 1238.54, 3918.89, 0.735375, 800
26, 80635.4, 1646.15, 1117.82, 225.928, 1278.02, 4096.73, 0.67175, 800
27, 80200.6, 1751.63, 1207.44, 240.559, 1315.73, 4284, 0.65975, 800
28, 79734.7, 1867.21, 1306.74, 257.094, 1352.81, 4481.41, 0.627625, 800
29, 79234.5, 1994, 1415.76, 272.873, 1393.12, 4689.74, 0.604625, 800
