Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86554.9, 387.781, 361.08, 121.059, 92.89, 1482.3, 0.787125, 800
1, 86390.8, 474.338, 344.948, 95.8885, 170.675, 1523.37, 0.837625, 800
2, 86241, 529.24, 340.496, 83.6696, 238.534, 1567.05, 0.86375, 800
3, 86097.2, 567.247, 343.289, 76.7276, 301.196, 1614.38, 0.869375, 800
4, 85954.9, 596.008, 350.703, 74.4919, 357.952, 1665.9, 0.871875, 800
5, 85811.2, 620.533, 360.204, 75.7515, 410.454, 1721.84, 0.876875, 800
6, 85664.1, 643.543, 371.149, 78.1427, 460.766, 1782.3, 0.88575, 800
7, 85512.7, 666.191, 383.065, 79.7736, 510.924, 1847.3, 0.873875, 800
8, 85357.1, 688.598, 397.45, 82.047, 557.949, 1916.85, 0.872875, 800
9, 85196.1, 711.83, 412.274, 84.0323, 604.756, 1990.96, 0.86625, 800
10, 85029.9, 735.745, 428.442, 88.3598, 647.979, 2069.6, 0.872, 800
11, 84857.1, 761.404, 447.133, 90.5731, 691.025, 2152.8, 0.861875, 800
12, 84677.6, 788.556, 466.942, 93.7179, 732.586, 2240.57, 0.85825, 800
13, 84490.9, 817.54, 487.297, 99.5671, 771.718, 2332.94, 0.859, 800
14, 84295.9, 849.022, 509.476, 105.928, 809.646, 2429.99, 0.860125, 800
15, 84091.9, 883.216, 534.177, 109.993, 848.894, 2531.78, 0.847375, 800
16, 83878.9, 919.588, 561.512, 115.519, 886.028, 2638.42, 0.836375, 800
17, 83655.6, 958.983, 591.446, 120.063, 923.821, 2750.07, 0.819875, 800
18, 83421.6, 1001.24, 622.848, 126.136, 961.333, 2866.88, 0.82475, 800
19, 83175.9, 1046.69, 655.673, 136.471, 996.257, 2989.04, 0.834, 800
20, 82916.8, 1096.43, 692.406, 147.344, 1030.25, 3116.79, 0.828625, 800
21, 82643, 1150.94, 732.979, 156.796, 1065.94, 3250.36, 0.8105, 800
22, 82353.8, 1209.89, 778.575, 166.083, 1101.55, 3390.05, 0.785875, 800
23, 82048, 1273.81, 828.098, 177.103, 1136.83, 3536.21, 0.787875, 800
24, 81723.7, 1343.33, 882.372, 188.422, 1172.99, 3689.21, 0.777125, 800
25, 81379.6, 1418.73, 942.791, 200.503, 1208.89, 3849.48, 0.756375, 800
26, 81013.8, 1500.79, 1009.02, 214.985, 1243.91, 4017.5, 0.744, 800
27, 80623.9, 1590.49, 1082.63, 231.847, 1277.32, 4193.78, 0.72275, 800
28, 80207.3, 1689.04, 1165.76, 245.456, 1313.55, 4378.9, 0.683875, 800
29, 79762.3, 1796.21, 1257.05, 260.016, 1350.89, 4573.53, 0.6635, 800
