Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86728.6, 214.111, 359.82, 124.749, 90.46, 1482.3, 0.81675, 800
1, 86711.7, 188.153, 320.324, 91.2748, 165.179, 1523.37, 0.854, 800
2, 86697.4, 164.845, 280.706, 66.3043, 226.2, 1564.57, 0.882125, 800
3, 86685.3, 143.948, 242.693, 50.519, 272.023, 1605.51, 0.9195, 800
4, 86675.1, 125.358, 208.321, 36.1074, 309.223, 1645.88, 0.91325, 800
5, 86666.6, 108.788, 176.641, 27.0898, 335.445, 1685.43, 0.932, 800
6, 86659.5, 94.1158, 148.734, 20.5221, 353.165, 1723.94, 0.935, 800
7, 86653.6, 81.1785, 124.326, 16.4032, 363.199, 1761.26, 0.9465, 800
8, 86648.7, 69.8364, 103.601, 12.7022, 367.866, 1797.25, 0.944875, 800
9, 86644.7, 59.9131, 85.458, 10.1151, 367.98, 1831.84, 0.945375, 800
10, 86641.4, 51.2534, 70.4117, 7.99738, 364.016, 1864.95, 0.943625, 800
11, 86638.6, 43.7289, 58.4178, 6.44134, 356.215, 1896.55, 0.930625, 800
12, 86636.4, 37.238, 48.3571, 5.54498, 345.841, 1926.63, 0.946375, 800
13, 86634.5, 31.6644, 39.8164, 4.58319, 334.238, 1955.18, 0.937875, 800
14, 86633, 26.875, 33.1354, 3.62568, 321.164, 1982.23, 0.932625, 800
15, 86631.7, 22.778, 27.1111, 3.09921, 307.523, 2007.79, 0.946625, 800
16, 86630.6, 19.2726, 22.1835, 2.70452, 293.277, 2031.92, 0.94, 800
17, 86629.8, 16.2833, 18.3571, 2.35578, 278.589, 2054.64, 0.934, 800
18, 86629.1, 13.7467, 15.3356, 2.00451, 263.84, 2076.02, 0.928625, 800
19, 86628.5, 11.6001, 12.9547, 1.69338, 249.204, 2096.1, 0.937625, 800
20, 86627.9, 9.78931, 10.9334, 1.31878, 235.074, 2114.95, 0.92525, 800
21, 86627.5, 8.25737, 9.11292, 1.21754, 221.293, 2132.62, 0.925125, 800
22, 86627.2, 6.965, 7.81803, 1.09846, 207.816, 2149.16, 0.90775, 800
23, 86626.9, 5.88196, 6.6447, 0.966836, 195.052, 2164.64, 0.90275, 800
24, 86626.6, 4.97016, 5.62355, 0.874689, 182.88, 2179.12, 0.895125, 800
25, 86626.4, 4.20202, 4.80794, 0.783924, 171.287, 2192.65, 0.896375, 800
26, 86626.2, 3.556, 4.0528, 0.658851, 160.392, 2205.28, 0.871875, 800
27, 86626, 3.00858, 3.53316, 0.59471, 149.916, 2217.07, 0.884, 800
28, 86625.9, 2.55036, 3.002, 0.536181, 140.147, 2228.08, 0.86625, 800
29, 86625.7, 2.16328, 2.43936, 0.532657, 131.007, 2238.34, 0.86975, 800
