Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86511.5, 431.199, 361.52, 113.509, 100, 1482.3, 0.75, 800
0, 2, 86313.6, 542.851, 343.065, 108.273, 168.857, 1523.37, 0.95, 800
0, 3, 86126, 621.872, 358.56, 84.1101, 241.796, 1567.67, 0.675, 800
0, 4, 85942.4, 681.087, 367.01, 81.4146, 311.525, 1616.56, 0.8625, 800
0, 5, 85756.8, 730.45, 385.148, 68.4645, 388.273, 1670.84, 0.8125, 800
0, 6, 85569.5, 771.681, 404.9, 82.4012, 440.539, 1730.98, 0.8875, 800
0, 7, 85368.7, 818.138, 425.014, 94.8162, 496.072, 1797.25, 0.95, 800
0, 8, 85155, 868.205, 462.195, 84.1319, 560.638, 1869.81, 0.8, 800
0, 9, 84931, 918.589, 495.73, 104.215, 601.593, 1948.88, 0.875, 800
0, 10, 84685.6, 980.235, 532.923, 113.886, 652.622, 2034.71, 0.85, 800
0, 11, 84421.9, 1047.95, 577.09, 121.566, 704.006, 2127.52, 0.825, 800
0, 12, 84137.8, 1122.38, 627.583, 120.76, 763.72, 2227.71, 0.7125, 800
0, 13, 83834.6, 1201.1, 670.889, 150.477, 807.168, 2335.72, 0.8625, 800
0, 14, 83503.1, 1292.47, 741.123, 139.795, 871.514, 2452.04, 0.725, 800
0, 15, 83148.8, 1388.19, 803.131, 156.358, 926.263, 2577.22, 0.8125, 800
0, 16, 82764.7, 1494.73, 877.112, 162.481, 989.101, 2711.91, 0.7, 800
0, 17, 82350.3, 1610.11, 954.723, 187.559, 1040.45, 2856.82, 0.725, 800
0, 18, 81897.4, 1741.06, 1029.94, 227.768, 1091.13, 3012.73, 0.8625, 800
0, 19, 81401.4, 1888.85, 1143.12, 239.963, 1146.19, 3180.5, 0.6125, 800
0, 20, 80859.2, 2053.22, 1292.91, 246.153, 1187.32, 3361.17, 0.375, 800
0, 21, 80260, 2241.85, 1450.01, 246.765, 1245.52, 3555.91, 0.3875, 800
0, 22, 79604.2, 2449.25, 1607.3, 272.649, 1300.55, 3766.07, 0.475, 800
0, 23, 78883.5, 2680.04, 1763.39, 327.13, 1352.65, 3993.25, 0.65, 800
0, 24, 78089.4, 2938.13, 1977.64, 333.565, 1422.04, 4239.19, 0.3125, 800
0, 25, 77220.4, 3219.59, 2217.71, 377.027, 1459.46, 4505.85, 0.3, 800
0, 26, 76255.5, 3540.52, 2505.05, 384.272, 1519.21, 4795.44, 0.05, 800
0, 27, 75194.5, 3893.38, 2726.79, 529.255, 1545.7, 5110.33, 0.8625, 800
0, 28, 74015.6, 4293.69, 3070.09, 567.054, 1600.29, 5453.31, 0.05, 800
0, 29, 72719.2, 4731.29, 3420.92, 669.171, 1631.99, 5827.42, 0.275, 800
0, 30, 71287, 5217.27, 3808.95, 793.251, 1657.41, 6236.14, 0.2625, 800
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86511.5, 431.199, 361.52, 125.509, 88, 1482.3, 0.85, 800
1, 2, 86308.6, 547.85, 349.065, 113.416, 157.714, 1523.37, 0.875, 800
1, 3, 86116.4, 630.492, 351.831, 105.186, 228.449, 1567.67, 0.8875, 800
1, 4, 85926.9, 693.912, 359.969, 111.502, 291.131, 1616.63, 0.9125, 800
1, 5, 85731.8, 750.211, 389.405, 101.172, 356.336, 1671.1, 0.8375, 800
1, 6, 85529.2, 802.696, 407.62, 124.958, 403.884, 1731.6, 0.9625, 800
1, 7, 85309.9, 861.503, 432.881, 135.194, 462.035, 1798.49, 0.9375, 800
1, 8, 85076.5, 922.569, 467.572, 137.228, 524.032, 1872.06, 0.8125, 800
1, 9, 84828.8, 985.829, 518.333, 130.78, 583.601, 1952.7, 0.8125, 800
1, 10, 84563.6, 1053.82, 567.326, 136.588, 637.916, 2040.75, 0.825, 800
1, 11, 84277, 1129.69, 599.337, 164.061, 693.35, 2136.59, 0.975, 800
1, 12, 83967.2, 1213.56, 649.684, 190.124, 738.825, 2240.64, 0.9, 800
1, 13, 83627.6, 1310.41, 715.176, 188.357, 805.052, 2353.4, 0.7, 800
1, 14, 83263.7, 1412.19, 795.55, 199.528, 853.548, 2475.45, 0.725, 800
1, 15, 82864.8, 1528.72, 882.431, 196.007, 920.58, 2607.49, 0.6, 800
1, 16, 82434.4, 1653.31, 967.422, 213.73, 980.825, 2750.28, 0.7125, 800
1, 17, 81965.6, 1791.51, 1078.78, 212.662, 1046.77, 2904.71, 0.5875, 800
1, 18, 81455.8, 1942.94, 1177.54, 267.962, 1084, 3071.72, 0.85, 800
1, 19, 80888.9, 2121.34, 1313.44, 282.399, 1141.57, 3252.4, 0.5875, 800
1, 20, 80267.3, 2318.67, 1456.61, 298.508, 1211.03, 3447.93, 0.6, 800
1, 21, 79588.9, 2533.32, 1652.18, 286.306, 1279.53, 3659.8, 0.3, 800
1, 22, 78845.9, 2769.59, 1832.83, 331.855, 1330.13, 3889.65, 0.5625, 800
1, 23, 78024.1, 3037.55, 2065.66, 357.326, 1376.12, 4139.28, 0.2625, 800
1, 24, 77113.7, 3340.4, 2285.37, 432.056, 1417.83, 4410.65, 0.575, 800
1, 25, 76104.6, 3681.39, 2501.78, 549.619, 1456.55, 4706.02, 0.8, 800
1, 26, 74986.4, 4063.38, 2825.48, 604.244, 1492.51, 5028.02, 0.1125, 800
1, 27, 73747.9, 4489.14, 3192.53, 634.886, 1555.91, 5379.61, 0, 800
1, 28, 72388.7, 4950.53, 3565.97, 719.886, 1610.77, 5764.13, 0.2625, 800
1, 29, 70894.7, 5454.4, 3986.34, 821.497, 1657.72, 6185.32, 0.1125, 800
1, 30, 69253.4, 6004.85, 4403.21, 1003.08, 1688.31, 6647.14, 0.55, 800
2, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
2, 1, 86511.5, 431.199, 367.52, 124.509, 83, 1482.3, 0.825, 800
2, 2, 86306.5, 549.933, 358.637, 86.4872, 175.071, 1523.37, 0.825, 800
2, 3, 86121.5, 624.94, 358.01, 74.3055, 253.566, 1567.67, 0.825, 800
2, 4, 85942.2, 679.238, 370.93, 71.4943, 319.454, 1616.66, 0.8, 800
2, 5, 85759.1, 726.486, 389.528, 64.1419, 389.636, 1671.08, 0.8, 800
2, 6, 85571.8, 768.539, 406.413, 79.1495, 442.805, 1731.32, 0.8875, 800
2, 7, 85371.7, 814.913, 428.979, 82.6083, 504.176, 1797.63, 0.8625, 800
2, 8, 85161.4, 862.244, 461.425, 81.6025, 563.164, 1870.18, 0.7375, 800
2, 9, 84938.7, 912.484, 478.18, 99.5084, 621.938, 1949.2, 0.925, 800
2, 10, 84702.4, 966.27, 520.772, 93.1496, 682.514, 2034.88, 0.725, 800
2, 11, 84452, 1023.42, 569.852, 89.4723, 737.763, 2127.49, 0.7, 800
2, 12, 84183.9, 1086.86, 608.427, 113.487, 780.065, 2227.28, 0.9, 800
2, 13, 83891.2, 1162.14, 654.129, 116.592, 841.346, 2334.56, 0.7625, 800
2, 14, 83579.9, 1241.06, 715.105, 124.993, 889.25, 2449.71, 0.6375, 800
2, 15, 83241.8, 1330.96, 779.775, 146.528, 927.732, 2573.23, 0.7625, 800
2, 16, 82870.5, 1436.07, 854.412, 160.92, 972.466, 2705.67, 0.6875, 800
2, 17, 82465.3, 1554.03, 937.433, 170.59, 1025, 2847.65, 0.725, 800
2, 18, 82025.3, 1683.23, 1025.04, 186.647, 1079.79, 3000.01, 0.725, 800
2, 19, 81546.7, 1825.18, 1139.47, 180.309, 1144.66, 3163.69, 0.55, 800
2, 20, 81028.4, 1978.4, 1248.61, 209.94, 1194.9, 3339.72, 0.675, 800
2, 21, 80459.3, 2151.82, 1389.4, 226.648, 1243.55, 3529.25, 0.4875, 800
2, 22, 79833.2, 2347.58, 1531.41, 264.568, 1289.72, 3733.51, 0.575, 800
2, 23, 79142.8, 2568.49, 1709.68, 275.526, 1349.6, 3953.91, 0.4125, 800
2, 24, 78386.2, 2811.37, 1920.15, 297.955, 1392.2, 4192.12, 0.2875, 800
2, 25, 77549, 3086.35, 2125.59, 354.355, 1434.76, 4450, 0.4875, 800
2, 26, 76622.9, 3395.16, 2397.85, 378.224, 1476.28, 4729.62, 0.05, 800
2, 27, 75598.6, 3740.42, 2640.9, 471.918, 1514.83, 5033.36, 0.5125, 800
2, 28, 74465.4, 4125.52, 2967.92, 503.635, 1573.63, 5363.9, 0.05, 800
2, 29, 73220.6, 4545.25, 3298.5, 586.192, 1625.22, 5724.27, 0.3375, 800
2, 30, 71850.9, 5005.89, 3679.23, 684.036, 1662.14, 6117.84, 0.1875, 800
3, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
3, 1, 86511.5, 431.199, 365.52, 118.509, 91, 1482.3, 0.725, 800
3, 2, 86309.8, 546.6, 353.78, 95.9157, 170.5, 1523.37, 0.8875, 800
3, 3, 86122.9, 624.181, 356.034, 89.8606, 239.321, 1567.67, 0.8875, 800
3, 4, 85938, 684.265, 362.988, 88.8928, 309.227, 1616.61, 0.875, 800
3, 5, 85751, 734.412, 386.857, 83.5992, 373.139, 1670.98, 0.85, 800
3, 6, 85556.8, 781.794, 420.042, 73.6926, 436.487, 1731.23, 0.8, 800
3, 7, 85353.3, 828.849, 454.49, 68.3364, 497.309, 1797.68, 0.8, 800
3, 8, 85138.4, 877.967, 481.066, 78.1862, 553.787, 1870.55, 0.85, 800
3, 9, 84909.2, 931.654, 511.619, 90.2795, 607.231, 1950.05, 0.8125, 800
3, 10, 84663.1, 991.423, 561.506, 85.7302, 661.857, 2036.41, 0.775, 800
3, 11, 84399.2, 1057.01, 606.198, 92.092, 715.582, 2129.92, 0.8125, 800
3, 12, 84115.4, 1129.4, 638.879, 129.934, 755.469, 2230.91, 1, 800
3, 13, 83804, 1214.93, 699.362, 123.418, 818.507, 2339.79, 0.6875, 800
3, 14, 83472, 1303.98, 758.498, 136.498, 872.042, 2457.02, 0.7, 800
3, 15, 83112.2, 1402.93, 826.876, 144.987, 929.753, 2583.24, 0.7375, 800
3, 16, 82723.3, 1511.3, 906.223, 162.806, 977.342, 2719.07, 0.6625, 800
3, 17, 82297.4, 1634.88, 997.075, 181.855, 1023.53, 2865.24, 0.6875, 800
3, 18, 81830.2, 1775.11, 1101.74, 196.959, 1073.42, 3022.56, 0.6375, 800
3, 19, 81318.5, 1931.84, 1189.56, 242.397, 1125.75, 3192, 0.775, 800
3, 20, 80757.7, 2106.2, 1323.05, 274.993, 1163.34, 3374.69, 0.5625, 800
3, 21, 80136.3, 2306.41, 1436.41, 341.722, 1207.24, 3571.93, 0.875, 800
3, 22, 79450.1, 2531.29, 1609.71, 347.698, 1276.01, 3785.17, 0.45, 800
3, 23, 78701.3, 2773.9, 1809.11, 358.74, 1340.87, 4016.13, 0.375, 800
3, 24, 77879.7, 3040.69, 2052.23, 371.55, 1389.09, 4266.75, 0.1625, 800
3, 25, 76970.7, 3341.53, 2303.34, 403.452, 1441.87, 4539.1, 0.275, 800
3, 26, 75967.4, 3676.48, 2557.63, 467.125, 1495.88, 4835.43, 0.475, 800
3, 27, 74860.9, 4047.68, 2871.65, 507.348, 1554.03, 5158.34, 0.1375, 800
3, 28, 73642.9, 4456.23, 3197.21, 592.97, 1600.03, 5510.7, 0.2625, 800
3, 29, 72298.8, 4909.06, 3572.71, 670.989, 1652.74, 5895.71, 0.175, 800
3, 30, 70821.4, 5404.68, 3991.78, 771.605, 1693.69, 6316.88, 0.1, 800
4, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
4, 1, 86511.5, 431.199, 369.52, 113.509, 92, 1482.3, 0.725, 800
4, 2, 86310.3, 546.183, 357.494, 73.2729, 189.429, 1523.37, 0.8, 800
4, 3, 86131.2, 615.982, 355.424, 90.8101, 238.898, 1567.67, 0.9625, 800
4, 4, 85946.1, 677.864, 367.274, 69.2825, 322.834, 1616.61, 0.7625, 800
4, 5, 85765.5, 722.967, 380.941, 82.0056, 377.774, 1670.85, 0.9, 800
4, 6, 85574.3, 769.569, 406.947, 84.5261, 433.79, 1730.9, 0.8875, 800
4, 7, 85371.7, 818.179, 433.619, 83.6627, 495.805, 1796.99, 0.8, 800
4, 8, 85159.1, 867.197, 462.191, 97.7775, 544.391, 1869.35, 0.9375, 800
4, 9, 84929.5, 923.387, 496.585, 90.8252, 611.506, 1948.24, 0.7875, 800
4, 10, 84689.2, 978.943, 551.389, 84.7409, 661.827, 2033.87, 0.75, 800
4, 11, 84429.8, 1042.58, 587.056, 100.425, 713.553, 2126.58, 0.85, 800
4, 12, 84150.3, 1113.57, 624.084, 123.806, 761.585, 2226.66, 0.925, 800
4, 13, 83847.2, 1193.91, 687.406, 117.777, 819.186, 2334.48, 0.6875, 800
4, 14, 83522.1, 1280.23, 747.453, 133.999, 865.673, 2450.5, 0.8, 800
4, 15, 83167.6, 1378.7, 820.296, 146.241, 911.839, 2575.3, 0.6875, 800
4, 16, 82780.5, 1490.04, 888.721, 159.517, 971.708, 2709.47, 0.75, 800
4, 17, 82362.7, 1609.88, 957.846, 200.526, 1015.3, 2853.75, 0.8, 800
4, 18, 81903.3, 1747.33, 1067.81, 206.795, 1065.78, 3009.01, 0.525, 800
4, 19, 81400.6, 1900.57, 1160.17, 247.864, 1114.65, 3176.18, 0.8, 800
4, 20, 80848.7, 2072.37, 1300.38, 233.194, 1189.03, 3356.37, 0.475, 800
4, 21, 80251.6, 2254.94, 1455.62, 247.879, 1239.1, 3550.85, 0.425, 800
4, 22, 79593.3, 2462.26, 1612.34, 284.47, 1286.6, 3761.03, 0.625, 800
4, 23, 78866.3, 2696.81, 1790.89, 325.887, 1331.7, 3988.42, 0.4625, 800
4, 24, 78062.4, 2961.35, 1969.53, 386.418, 1385.57, 4234.74, 0.6875, 800
4, 25, 77176.8, 3254.68, 2214.43, 416.497, 1435.6, 4501.99, 0.25, 800
4, 26, 76199, 3581.5, 2503.92, 433.028, 1490.06, 4792.46, 0.0875, 800
4, 27, 75121.4, 3942.85, 2798.47, 499.987, 1528.63, 5108.67, 0.25, 800
4, 28, 73928.2, 4347.47, 3142.58, 556.845, 1571.44, 5453.46, 0.0625, 800
4, 29, 72611.2, 4794.95, 3494.76, 628.918, 1640.2, 5829.95, 0.2625, 800
4, 30, 71169.4, 5277.81, 3859.42, 773.693, 1678.04, 6241.66, 0.4625, 800
5, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
5, 1, 86511.5, 431.199, 367.52, 118.509, 89, 1482.3, 0.75, 800
5, 2, 86309, 547.433, 361.637, 90.9157, 167.643, 1523.37, 0.8125, 800
5, 3, 86120.9, 626.033, 364.446, 82.2677, 238.668, 1567.67, 0.7875, 800
5, 4, 85935.7, 686.082, 373.059, 86.9534, 301.621, 1616.62, 0.85, 800
5, 5, 85745.3, 739.226, 389.463, 86.9074, 368.076, 1671.03, 0.875, 800
5, 6, 85548.6, 788.074, 404.136, 105.053, 422.785, 1731.34, 0.9375, 800
5, 7, 85338.8, 840.22, 436.6, 105.834, 480.586, 1797.91, 0.7, 800
5, 8, 85115.9, 895.085, 475.045, 100.688, 542.259, 1870.99, 0.775, 800
5, 9, 84880, 952.042, 513.425, 102.201, 601.526, 1950.84, 0.85, 800
5, 10, 84628.3, 1013.26, 555.037, 111.023, 654.56, 2037.78, 0.85, 800
5, 11, 84356.9, 1082.04, 595.248, 109.888, 723.805, 2132.11, 0.75, 800
5, 12, 84070.5, 1152.07, 643.216, 133.962, 766.105, 2234.18, 0.8125, 800
5, 13, 83755.8, 1236.28, 686.562, 163.517, 813.383, 2344.41, 0.9375, 800
5, 14, 83413, 1331.88, 759.601, 170.014, 862.284, 2463.23, 0.7125, 800
5, 15, 83039.6, 1438.9, 816.807, 202.783, 910.693, 2591.23, 0.925, 800
5, 16, 82631.9, 1558.82, 914.909, 195.633, 969.643, 2729.1, 0.55, 800
5, 17, 82190, 1688.95, 998.794, 224.188, 1020.38, 2877.69, 0.775, 800
5, 18, 81706, 1835.19, 1096.9, 255.512, 1068.5, 3037.93, 0.8375, 800
5, 19, 81173.9, 2000.26, 1223.48, 270.372, 1121.18, 3210.85, 0.525, 800
5, 20, 80589.9, 2184.13, 1361.13, 292.075, 1175.09, 3397.64, 0.575, 800
5, 21, 79948.4, 2388.87, 1527.68, 289.261, 1246.16, 3599.66, 0.4375, 800
5, 22, 79248.9, 2610.59, 1702, 319.931, 1300.15, 3818.45, 0.4625, 800
5, 23, 78477.3, 2860.07, 1888.91, 362.714, 1355.28, 4055.74, 0.5, 800
5, 24, 77626.4, 3138.95, 2089.4, 445.41, 1386.47, 4313.38, 0.6125, 800
5, 25, 76678.9, 3458.68, 2356.61, 449.932, 1462.44, 4593.47, 0.2, 800
5, 26, 75642.6, 3803.23, 2653.5, 484.315, 1517.98, 4898.4, 0.1625, 800
5, 27, 74499.6, 4185.53, 2986.41, 512.915, 1584.55, 5230.95, 0.075, 800
5, 28, 73244.3, 4603.8, 3356.07, 564.41, 1637.37, 5594.09, 0.0125, 800
5, 29, 71861.5, 5065.79, 3728.88, 658.323, 1694.42, 5991.08, 0.2875, 800
5, 30, 70343.3, 5570.8, 4121.75, 819.247, 1719.39, 6425.48, 0.4125, 800
6, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
6, 1, 86511.5, 431.199, 362.52, 130.509, 82, 1482.3, 0.7875, 800
6, 2, 86306.1, 550.349, 346.994, 114.059, 159.143, 1523.37, 0.925, 800
6, 3, 86114.5, 631.892, 344.257, 120.932, 220.776, 1567.67, 0.9625, 800
6, 4, 85921.6, 698.417, 363.133, 110.208, 290.006, 1616.67, 0.85, 800
6, 5, 85725.7, 754.577, 396.973, 94.241, 357.291, 1671.19, 0.8125, 800
6, 6, 85523, 806.437, 412.259, 105.784, 420.77, 1731.8, 0.95, 800
6, 7, 85309.6, 858.494, 445.713, 114.614, 472.715, 1798.86, 0.8875, 800
6, 8, 85079.4, 916.978, 478.065, 122.937, 529.95, 1872.64, 0.825, 800
6, 9, 84833.2, 979.808, 510.295, 133.175, 590.096, 1953.43, 0.875, 800
6, 10, 84570.3, 1046.71, 561.018, 120.451, 659.947, 2041.54, 0.7, 800
6, 11, 84292.8, 1114.89, 602.485, 146.65, 705.808, 2137.35, 0.975, 800
6, 12, 83988.7, 1195.99, 651.534, 164.068, 758.393, 2241.28, 0.825, 800
6, 13, 83658.9, 1286.65, 705.435, 181.108, 814.222, 2353.71, 0.8, 800
6, 14, 83301.7, 1386.47, 780.178, 177.371, 879.063, 2475.19, 0.625, 800
6, 15, 82917.6, 1493.28, 848.556, 199.89, 934.273, 2606.38, 0.75, 800
