Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 87779.9, 129.179, 173.47, 57.1043, 40.24, 820.071, 0.7942, 500
1, 87747.4, 135.831, 161.864, 42.4161, 73.0257, 839.415, 0.8484, 500
2, 87718.7, 137.437, 152.479, 32.5863, 99.5996, 859.223, 0.868, 500
3, 87692.6, 136.007, 144.409, 27.1549, 120.255, 879.556, 0.881, 500
4, 87668.5, 132.954, 136.725, 23.5557, 137.896, 900.4, 0.9034, 500
5, 87645.9, 128.918, 130.172, 21.0204, 152.276, 921.699, 0.9038, 500
6, 87624.6, 124.405, 124.033, 19.574, 163.969, 943.375, 0.9054, 500
7, 87604.4, 119.722, 117.67, 17.6702, 175.147, 965.345, 0.9058, 500
8, 87585.4, 114.809, 111.976, 16.3713, 183.907, 987.522, 0.9024, 500
9, 87567.4, 109.891, 106.111, 15.4205, 191.38, 1009.83, 0.9092, 500
10, 87550.3, 104.995, 101.296, 14.4025, 196.84, 1032.18, 0.9124, 500
11, 87534, 100.255, 96.0902, 13.4434, 201.68, 1054.5, 0.9108, 500
12, 87518.6, 95.5938, 91.6823, 12.5985, 204.755, 1076.73, 0.896, 500
13, 87504, 91.1243, 86.5667, 11.9342, 207.579, 1098.8, 0.9152, 500
14, 87490.2, 86.7344, 82.1208, 11.4692, 208.852, 1120.67, 0.9004, 500
15, 87477, 82.5306, 77.8278, 10.684, 209.674, 1142.27, 0.919, 500
16, 87464.6, 78.4525, 73.643, 9.93273, 209.817, 1163.57, 0.9088, 500
17, 87452.9, 74.4953, 69.3861, 9.4704, 209.27, 1184.53, 0.9038, 500
18, 87441.8, 70.6655, 65.9393, 9.06366, 207.443, 1205.11, 0.9058, 500
19, 87431.3, 67.0594, 62.7825, 8.26619, 205.355, 1225.28, 0.9066, 500
20, 87421.3, 63.6183, 59.4664, 8.13931, 202.467, 1245.02, 0.8854, 500
21, 87411.8, 60.3812, 55.9754, 7.69503, 199.835, 1264.32, 0.8966, 500
22, 87402.9, 57.2383, 53.0205, 7.27826, 196.461, 1283.14, 0.907, 500
23, 87394.4, 54.25, 49.8867, 6.81268, 193.168, 1301.48, 0.9058, 500
24, 87386.5, 51.3536, 47.1983, 6.21106, 189.46, 1319.32, 0.906, 500
25, 87379, 48.5744, 45.1065, 6.16863, 184.518, 1336.67, 0.906, 500
26, 87371.8, 46.051, 42.465, 5.79247, 180.408, 1353.52, 0.913, 500
27, 87365, 43.6085, 39.919, 5.30178, 176.321, 1369.85, 0.9012, 500
28, 87358.7, 41.2281, 37.7528, 5.14959, 171.537, 1385.67, 0.8984, 500
29, 87352.6, 38.9982, 35.6981, 4.80545, 166.864, 1400.99, 0.9024, 500
