Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 395.756, 125.451, 56.53, 1482.49, 0.5398, 500
1, 86592.7, 292.185, 395.162, 96.3864, 99.8421, 1523.75, 0.6472, 500
2, 86524.3, 302.07, 395.622, 77.7028, 134.261, 1565.99, 0.7198, 500
3, 86458.6, 307.393, 397.153, 66.0368, 161.411, 1609.39, 0.7656, 500
4, 86394.3, 310.195, 398.45, 58.7034, 184.311, 1654.01, 0.7982, 500
5, 86330.9, 311.551, 399.657, 53.922, 204.106, 1699.83, 0.7968, 500
6, 86268.1, 312.095, 400.437, 50.6635, 221.917, 1746.8, 0.807, 500
7, 86205.6, 312.141, 400.727, 49.0604, 237.576, 1794.88, 0.8204, 500
8, 86143.4, 311.95, 401.244, 48.1745, 251.276, 1843.97, 0.8328, 500
9, 86081.2, 311.702, 401.637, 46.8705, 264.528, 1894.02, 0.823, 500
10, 86019.3, 311.333, 402.077, 46.4347, 275.933, 1944.96, 0.8272, 500
11, 85957.3, 310.993, 402.363, 46.1979, 286.404, 1996.7, 0.8312, 500
12, 85895.5, 310.684, 402.252, 46.1177, 296.296, 2049.2, 0.8396, 500
13, 85833.6, 310.366, 402.446, 45.9046, 305.262, 2102.39, 0.821, 500
14, 85771.9, 310.064, 402.521, 45.8276, 313.508, 2156.22, 0.8278, 500
15, 85710.1, 309.777, 402.238, 45.638, 321.574, 2210.64, 0.8322, 500
16, 85648.5, 309.439, 402.396, 44.5848, 329.465, 2265.6, 0.8254, 500
17, 85587.1, 309.001, 402.535, 44.5265, 335.811, 2321.06, 0.8314, 500
18, 85525.7, 308.617, 402.292, 44.8961, 341.565, 2376.98, 0.8308, 500
19, 85464.3, 308.283, 402.523, 44.9762, 346.637, 2433.32, 0.8312, 500
20, 85402.9, 308.015, 401.801, 44.8606, 352.408, 2490.04, 0.8256, 500
21, 85341.6, 307.641, 402.473, 45.2672, 355.856, 2547.12, 0.8278, 500
22, 85280.3, 307.446, 401.795, 45.7023, 360.227, 2604.52, 0.8206, 500
23, 85219.1, 307.213, 401.498, 46.0947, 363.927, 2662.21, 0.8376, 500
24, 85157.8, 306.995, 401.759, 45.755, 367.482, 2720.18, 0.8304, 500
25, 85096.7, 306.766, 401.592, 45.3165, 371.273, 2778.39, 0.8264, 500
26, 85035.6, 306.456, 400.924, 44.7556, 375.414, 2836.83, 0.817, 500
27, 84974.8, 305.997, 400.26, 44.2361, 379.239, 2895.48, 0.8278, 500
28, 84914.2, 305.424, 400.12, 44.2462, 381.73, 2954.32, 0.8336, 500
29, 84853.6, 304.905, 399.819, 44.6512, 383.704, 3013.33, 0.8426, 500
