Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 73036, 230.323, 327.813, 113.173, 43.59, 1249.12, 0.542, 300
1, 72974.6, 245.607, 323.683, 93.5681, 78.7764, 1283.74, 0.637, 300
2, 72916.6, 254.483, 320.247, 80.4411, 109.03, 1319.17, 0.7055, 300
3, 72861, 259.237, 317.11, 70.1743, 136.922, 1355.58, 0.7445, 300
4, 72807.2, 261.138, 314.993, 63.1561, 160.462, 1393.02, 0.764, 300
5, 72754.8, 261.352, 312.033, 58.6732, 181.66, 1431.49, 0.8045, 300
6, 72703.4, 260.455, 308.914, 56.0335, 200.234, 1470.95, 0.8015, 300
7, 72652.9, 258.902, 306.032, 52.5483, 218.322, 1511.32, 0.794, 300
8, 72603.3, 256.745, 303.309, 50.539, 233.627, 1552.52, 0.8115, 300
9, 72554.3, 254.33, 300.498, 48.6038, 247.76, 1594.49, 0.8145, 300
10, 72506.1, 251.709, 298.08, 46.4219, 260.593, 1637.12, 0.8065, 300
11, 72458.5, 248.945, 294.958, 45.2686, 271.989, 1680.34, 0.8205, 300
12, 72411.5, 246.113, 292.102, 44.3018, 281.871, 1724.07, 0.8215, 300
13, 72365.1, 243.289, 288.654, 44.1442, 290.537, 1768.23, 0.833, 300
14, 72319.3, 240.503, 285.286, 43.1284, 299.055, 1812.76, 0.8205, 300
15, 72274, 237.642, 282.069, 41.978, 306.704, 1857.58, 0.813, 300
16, 72229.4, 234.723, 278.551, 41.8581, 312.816, 1902.63, 0.8225, 300
17, 72185.3, 231.86, 274.896, 40.7116, 319.332, 1947.86, 0.8095, 300
18, 72141.9, 228.882, 270.601, 40.3652, 324.993, 1993.21, 0.845, 300
19, 72099.2, 225.836, 267.345, 39.8549, 329.109, 2038.64, 0.8225, 300
20, 72057, 222.857, 263.536, 39.3482, 333.141, 2084.09, 0.829, 300
21, 72015.5, 219.856, 260.042, 38.269, 336.855, 2129.52, 0.8185, 300
22, 71974.5, 216.804, 256.218, 37.3369, 340.214, 2174.89, 0.813, 300
23, 71934.3, 213.687, 252.669, 36.2082, 342.983, 2220.16, 0.8245, 300
24, 71894.7, 210.53, 249.367, 35.5832, 344.515, 2265.29, 0.828, 300
25, 71855.7, 207.445, 245.41, 35.5633, 345.636, 2310.25, 0.8475, 300
26, 71817.2, 204.411, 241.293, 35.0198, 347.028, 2355.01, 0.835, 300
27, 71779.4, 201.326, 237.875, 34.2531, 347.57, 2399.53, 0.83, 300
28, 71742.2, 198.266, 233.79, 33.846, 348.064, 2443.8, 0.839, 300
29, 71705.7, 195.185, 229.288, 32.9644, 349.122, 2487.78, 0.847, 300
