S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
48690.7, 153.549, 216.135, 87.915, 19, 832.75, 304.05, 0, 50000, 2, 0.00637, 200
48648.4, 165.137, 215.194, 84.8483, 30.6429, 855.825, 300.042, 0, 50000, 2, 0.00637, 200
48606.6, 173.814, 211.942, 84.6959, 43.4541, 879.445, 296.638, 0, 50000, 2, 0.00637, 200
48565.5, 180.247, 207.137, 83.0751, 60.3502, 903.738, 290.212, 0, 50000, 2, 0.00637, 200
48525.2, 184.467, 202.576, 84.956, 74.0395, 928.778, 287.532, 0, 50000, 2, 0.00637, 200
48485.3, 187.438, 199.932, 87.9557, 84.751, 954.604, 287.888, 0, 50000, 2, 0.00637, 200
48445.4, 189.832, 194.892, 86.9195, 101.697, 981.221, 281.812, 0, 50000, 2, 0.00637, 200
48406.4, 190.872, 197.548, 85.1008, 111.433, 1008.61, 282.649, 0, 50000, 2, 0.00637, 200
48367.3, 191.789, 199.16, 84.4746, 120.474, 1036.76, 283.634, 0, 50000, 2, 0.00637, 200
48328.1, 192.628, 202.784, 81.948, 128.868, 1065.63, 284.732, 0, 50000, 2, 0.00637, 200
48288.8, 193.418, 201.268, 83.6522, 137.664, 1095.17, 284.92, 0, 50000, 2, 0.00637, 200
48249.5, 194.044, 199.97, 85.2822, 145.83, 1125.36, 285.252, 0, 50000, 2, 0.00637, 200
48210.2, 194.559, 198.853, 86.8332, 153.414, 1156.15, 285.686, 0, 50000, 2, 0.00637, 200
48170.8, 194.999, 197.887, 85.3044, 163.456, 1187.51, 283.191, 0, 50000, 2, 0.00637, 200
48131.9, 194.975, 195.052, 87.9112, 170.78, 1219.42, 282.963, 0, 50000, 2, 0.00637, 200
48093, 194.893, 197.416, 84.3303, 178.582, 1251.83, 281.747, 0, 50000, 2, 0.00637, 200
48054.2, 194.629, 197.6, 87.0003, 181.826, 1284.71, 284.6, 0, 50000, 2, 0.00637, 200
48015.2, 194.778, 191.734, 87.4637, 192.838, 1318.02, 279.197, 0, 50000, 2, 0.00637, 200
47976.9, 194.124, 193.307, 85.9029, 198.064, 1351.74, 279.21, 0, 50000, 2, 0.00637, 200
47938.6, 193.573, 193.677, 85.4145, 202.917, 1385.83, 279.092, 0, 50000, 2, 0.00637, 200
47900.4, 193.085, 199.943, 81.9278, 204.423, 1420.26, 281.871, 0, 50000, 2, 0.00637, 200
47861.8, 193.044, 198.693, 82.6609, 208.821, 1454.99, 281.354, 0, 50000, 2, 0.00637, 200
47823.3, 192.91, 200.527, 81.3392, 211.905, 1490.01, 281.866, 0, 50000, 2, 0.00637, 200
47784.8, 192.842, 202.211, 82.1039, 212.769, 1525.28, 284.315, 0, 50000, 2, 0.00637, 200
47746, 193.09, 203.765, 82.8098, 213.571, 1560.78, 286.575, 0, 50000, 2, 0.00637, 200
47706.9, 193.566, 205.243, 82.4802, 215.316, 1596.51, 287.724, 0, 50000, 2, 0.00637, 200
47667.7, 194.071, 202.682, 84.2027, 218.937, 1632.44, 286.885, 0, 50000, 2, 0.00637, 200
47628.6, 194.329, 197.375, 84.8325, 226.298, 1668.57, 282.208, 0, 50000, 2, 0.00637, 200
