Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86566.7, 375.94, 361.04, 120.859, 93.13, 1482.3, 0.790125, 800
1, 86412.7, 454.761, 343.813, 95.2423, 170.088, 1523.37, 0.83875, 800
2, 86272.7, 503.876, 337.202, 80.425, 238.959, 1566.88, 0.84875, 800
3, 86139.6, 536.116, 337.399, 73.743, 299.32, 1613.78, 0.87375, 800
4, 86008.9, 559.641, 340.115, 70.5326, 356.29, 1664.53, 0.87, 800
5, 85878.5, 578.105, 345.601, 70.343, 408.141, 1719.31, 0.8885, 800
6, 85746.6, 594.357, 352.72, 71.1147, 457.008, 1778.17, 0.881875, 800
7, 85612.5, 609.654, 360.855, 73.4065, 502.535, 1841.09, 0.89125, 800
8, 85475.2, 624.978, 369.592, 74.9525, 547.269, 1908, 0.87625, 800
9, 85334.9, 640.26, 381.249, 75.7274, 588.989, 1978.84, 0.871125, 800
10, 85191, 656.173, 392.593, 77.3339, 629.378, 2053.56, 0.864375, 800
11, 85043.2, 672.733, 402.785, 80.4304, 668.802, 2132.08, 0.880375, 800
12, 84891.5, 689.896, 415.947, 82.0193, 706.311, 2214.37, 0.85675, 800
13, 84735.4, 707.978, 429.892, 85.0246, 741.32, 2300.39, 0.865625, 800
14, 84574.3, 727.458, 443.673, 87.0401, 777.389, 2390.12, 0.866375, 800
15, 84408.6, 747.668, 458.246, 90.7504, 811.161, 2483.55, 0.864625, 800
16, 84237.5, 769.207, 474.478, 95.6483, 842.411, 2580.71, 0.85275, 800
17, 84060.3, 792.662, 492.575, 99.4887, 873.419, 2681.6, 0.8485, 800
18, 83876.5, 817.86, 510.694, 104.692, 903.952, 2786.28, 0.856375, 800
19, 83686, 844.837, 531.416, 109.016, 933.954, 2894.8, 0.84325, 800
20, 83488.1, 873.721, 551.395, 114.459, 965.043, 3007.26, 0.863, 800
21, 83282.9, 904.194, 575.471, 119.037, 994.641, 3123.75, 0.832, 800
22, 83069.4, 936.875, 599.493, 125.916, 1023.93, 3244.41, 0.838125, 800
23, 82846.9, 971.945, 628.075, 129.204, 1054.48, 3369.36, 0.821875, 800
24, 82615.3, 1009.15, 655.654, 138.632, 1082.45, 3498.77, 0.846125, 800
25, 82373.1, 1049.55, 687.873, 144.909, 1111.73, 3632.82, 0.8195, 800
26, 82119.9, 1092.86, 723.516, 151.901, 1140.11, 3771.72, 0.8055, 800
27, 81854.5, 1139.64, 761.066, 159.252, 1169.81, 3915.68, 0.794625, 800
28, 81576.5, 1189.78, 800.814, 168.436, 1199.52, 4064.98, 0.802, 800
29, 81284.6, 1243.67, 845.822, 178.471, 1227.52, 4219.89, 0.791375, 800
