S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 392.52, 134.509, 48, 1482.3, 527.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86596, 291.972, 393.748, 117.3, 77.5714, 1523.37, 511.047, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86525, 304.612, 393.499, 99.4397, 112.031, 1565.41, 492.938, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86456.5, 312.151, 395.037, 94.6136, 133.028, 1608.62, 489.651, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86388.6, 317.672, 396.522, 76.5846, 167.526, 1653.1, 473.106, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86323, 319.741, 392.673, 74.1746, 191.56, 1698.86, 466.847, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86258.3, 320.479, 396.388, 77.0608, 201.877, 1745.89, 473.449, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86192.8, 321.936, 398.942, 76.7853, 215.458, 1794.13, 475.727, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86126.9, 323.366, 402.517, 72.6167, 231.068, 1843.5, 475.134, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86061.2, 324.378, 403.037, 78.8318, 238.563, 1893.94, 481.869, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85994.7, 326.068, 407.662, 75.6636, 250.523, 1945.4, 483.325, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85928, 327.569, 408.193, 78.8231, 259.628, 1997.82, 487.016, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85860.8, 329.227, 407.896, 77.847, 273.083, 2051.15, 485.743, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85793.9, 330.326, 414.852, 67.0402, 288.577, 2105.35, 481.892, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85727.5, 330.623, 411.465, 62.0712, 307.965, 2160.39, 473.537, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85662.3, 329.659, 413.362, 62.4749, 315.967, 2216.21, 475.837, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85596.9, 329.155, 417.989, 63.7919, 319.398, 2272.76, 481.78, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85530.7, 329.518, 422.214, 66.9846, 320.584, 2329.99, 489.199, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85463.5, 330.775, 424.188, 57.9711, 335.685, 2387.83, 482.159, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85397.4, 330.763, 421.198, 59.6768, 344.708, 2446.25, 480.874, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85331.5, 330.526, 421.419, 60.26, 351.086, 2505.22, 481.679, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85265.5, 330.396, 419.591, 57.7873, 362.008, 2564.7, 477.379, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85200.2, 329.652, 420.876, 55.4834, 369.15, 2624.66, 476.359, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85135, 328.868, 420.965, 55.2994, 374.782, 2685.05, 476.264, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85069.9, 328.177, 414.937, 56.0815, 385.012, 2745.84, 471.019, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85005.6, 326.859, 416.244, 56.7663, 387.511, 2806.99, 473.01, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84941.1, 326.027, 420.272, 56.3231, 387.832, 2868.45, 476.595, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84876.1, 325.802, 421.897, 56.8617, 389.13, 2930.2, 478.758, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84810.9, 325.866, 428.373, 60.3482, 382.335, 2992.19, 488.722, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84744.4, 327.224, 425.397, 63.5896, 385.025, 3054.41, 488.986, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86669.4, 273.317, 390.52, 138.509, 46, 1482.3, 529.029, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86595.8, 292.25, 390.89, 117.014, 80.7143, 1523.37, 507.905, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86525.2, 304.398, 388.885, 96.1911, 119.949, 1565.41, 485.076, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86457.8, 310.888, 387.723, 87.5842, 147.381, 1608.63, 475.307, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86391.8, 314.672, 386.553, 83.9814, 169.854, 1653.11, 470.534, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86326.6, 316.987, 384.996, 76.863, 195.722, 1698.85, 461.859, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86262.6, 317.587, 385.874, 64.392, 223.741, 1745.82, 450.266, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86200.2, 316.415, 390.774, 66.8478, 231.76, 1793.96, 457.622, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86136.9, 316.45, 393.16, 63.0579, 247.206, 1843.2, 456.218, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86073.8, 316.237, 391.38, 64.5408, 260.548, 1893.45, 455.921, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86010.9, 315.98, 395.697, 64.9049, 267.938, 1944.62, 460.602, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85947.3, 316.374, 399.67, 64.2277, 275.799, 1996.66, 463.898, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85883.3, 317.098, 401.415, 65.6225, 283.099, 2049.5, 467.037, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85818.9, 318.061, 408.136, 64.961, 286.878, 2103.08, 473.097, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85753.7, 319.619, 404.512, 67.4046, 297.387, 2157.36, 471.917, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85688.8, 320.652, 404.365, 65.7671, 308.145, 2212.31, 470.132, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85624.1, 321.185, 406.373, 69.3086, 311.134, 2267.9, 475.682, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85558.7, 322.325, 404.312, 68.6291, 321.91, 2324.11, 472.941, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85493.8, 322.811, 405.558, 63.0665, 333.917, 2380.88, 468.625, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85429.5, 322.557, 409.783, 59.9304, 340.066, 2438.21, 469.714, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85365, 322.456, 407.671, 56.0031, 352.775, 2496.05, 463.674, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85301.5, 321.499, 405.696, 56.3502, 360.577, 2554.36, 462.046, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85238.3, 320.462, 409.727, 53.6151, 364.821, 2613.12, 463.342, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85174.9, 319.764, 414.326, 57.0132, 361.763, 2672.28, 471.339, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85110.4, 320.251, 411.498, 54.1267, 371.923, 2731.79, 465.625, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
85046.8, 319.812, 411.94, 57.4756, 372.357, 2791.61, 469.416, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
84982.7, 319.93, 410.29, 57.5589, 377.76, 2851.74, 467.849, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
84918.9, 319.763, 412.774, 54.6434, 381.777, 2912.14, 467.417, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
84855.2, 319.522, 415.057, 55.926, 381.507, 2972.79, 470.983, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
84791, 319.768, 413.143, 60.1027, 382.257, 3033.69, 473.246, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86669.4, 273.317, 390.52, 140.509, 44, 1482.3, 531.029, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86595.5, 292.528, 396.89, 117.871, 73.8571, 1523.37, 514.762, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86523.9, 305.573, 401.495, 110.004, 93.5816, 1565.41, 511.499, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86452.9, 315.497, 404.597, 99.4807, 118.897, 1608.63, 504.078, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86382.9, 322.348, 401.867, 94.3047, 145.405, 1653.13, 496.172, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86314.1, 326.676, 403.291, 83.9095, 173.019, 1698.96, 487.2, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86246.6, 328.84, 404.219, 77.5165, 196.66, 1746.12, 481.735, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86180, 329.762, 408.384, 71.7101, 215.613, 1794.57, 480.094, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86113.5, 330.222, 410.38, 65.3736, 236.212, 1844.27, 475.754, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86047.8, 329.938, 411.298, 65.5174, 250.34, 1895.12, 476.816, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85981.9, 329.807, 417.111, 62.6339, 261.458, 1947.06, 479.745, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85915.7, 330.057, 416.491, 60.9484, 276.783, 2000, 477.439, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85849.9, 329.887, 408.949, 67.3984, 290.013, 2053.88, 476.348, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85784.2, 329.551, 407.923, 69.3775, 300.297, 2108.62, 477.3, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85718.5, 329.363, 412.923, 71.195, 303.848, 2164.16, 484.117, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85651.9, 330.1, 412.539, 69.8714, 315.144, 2220.44, 482.41, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85585.6, 330.403, 409.286, 64.6866, 332.634, 2277.41, 473.972, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85520.5, 329.435, 416.307, 63.8903, 334.874, 2335.03, 480.198, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85454.5, 329.466, 419.692, 56.0928, 346.955, 2393.25, 475.785, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85389.3, 328.834, 420.839, 52.8541, 356.172, 2452.01, 473.694, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85324.4, 327.993, 419.816, 56.8089, 359.731, 2511.29, 476.625, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85259.1, 327.671, 419.748, 54.4307, 368.036, 2571.03, 474.179, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85194.2, 327.03, 419.64, 54.203, 373.748, 2631.19, 473.843, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85129.4, 326.421, 418.45, 55.9532, 378.052, 2691.73, 474.403, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
85064.6, 325.961, 421.26, 57.5418, 378.048, 2752.62, 478.802, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
84999.2, 326.145, 420.804, 61.9893, 378.045, 2813.82, 482.794, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
84933.3, 326.786, 423.407, 57.1302, 384.041, 2875.31, 480.537, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
84867.8, 326.94, 425.914, 57.6566, 384.61, 2937.07, 483.57, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
84801.9, 327.426, 430.263, 55.1547, 386.138, 2999.08, 485.418, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
84735.9, 328.015, 432.37, 58.8606, 383.556, 3061.33, 491.23, 2, 89000, 2, 0.00637, 500, 0.7, 0.6
86669.4, 273.317, 388.52, 129.509, 57, 1482.3, 518.029, 3, 89000, 2, 0.00637, 500, 0.7, 0.6
