S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 55.5029, 428.526, 91, 1482.3, 484.029, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86602, 285.99, 57.0047, 347.114, 184.5, 1523.37, 404.119, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86545.8, 284.968, 53.6528, 338.798, 211.321, 1565.41, 392.451, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86491.3, 282.493, 55.5198, 290.893, 271.227, 1608.54, 346.413, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86443.2, 274.087, 56.2039, 224.963, 348.854, 1652.66, 281.167, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86404.2, 258.282, 57.6711, 191.23, 390.936, 1697.66, 248.901, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86369.7, 241.146, 56.7174, 167.062, 422.012, 1743.36, 223.779, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86338.7, 223.94, 53.4891, 139.535, 454.868, 1789.49, 193.024, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86311.9, 205.903, 46.1472, 135.877, 464.377, 1835.77, 182.025, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86286.7, 189.94, 43.969, 104.234, 493.208, 1881.94, 148.203, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86266.2, 172.479, 40.6272, 78.9783, 513.978, 1927.75, 119.606, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86249.6, 154.545, 41.1748, 69.3832, 512.266, 1973.01, 110.558, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86234.3, 138.942, 39.3247, 64.2453, 505.675, 2017.5, 103.57, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86220, 125.489, 36.2946, 56.6658, 500.556, 2061.01, 92.9604, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86207.1, 113.257, 35.2119, 55.2063, 485.802, 2103.41, 90.4182, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86194.6, 103.117, 33.9619, 53.6492, 470.102, 2144.57, 87.6111, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86182.5, 94.6148, 30.5984, 47.3781, 460.523, 2184.4, 77.9765, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86171.7, 86.4787, 30.3051, 42.0246, 446.628, 2222.87, 72.3297, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86161.7, 79.1874, 27.87, 35.589, 435.726, 2259.94, 63.4591, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86152.9, 72.1264, 22.463, 31.3007, 425.603, 2295.59, 53.7637, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86145.5, 65.136, 22.3011, 32.0477, 405.203, 2329.83, 54.3488, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86138, 59.6239, 19.0109, 30.483, 390.26, 2362.66, 49.4939, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86131.1, 54.5423, 18.8454, 26.038, 375.384, 2394.07, 44.8834, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86124.9, 49.839, 17.5902, 20.9957, 362.571, 2424.09, 38.5859, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86119.6, 45.2054, 16.3305, 22.4671, 343.673, 2452.74, 38.7976, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86114.2, 41.5275, 16.0681, 19.9992, 328.125, 2480.06, 36.0674, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86109.2, 38.2074, 14.751, 19.0457, 312.687, 2506.07, 33.7966, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86104.6, 35.2372, 14.4615, 18.5626, 296.353, 2530.82, 33.0241, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86100, 32.754, 12.1333, 14.5794, 286.185, 2554.35, 26.7127, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86096.3, 29.8949, 10.9217, 8.43373, 277.743, 2576.7, 19.3554, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86669.4, 273.317, 54.5029, 452.526, 68, 1482.3, 507.029, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86598.8, 289.189, 53.0762, 420.4, 115.143, 1523.37, 473.476, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86533, 297.166, 53.0688, 373.425, 177.918, 1565.41, 426.494, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86473.8, 296.972, 51.2215, 340.242, 229.21, 1608.59, 391.464, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86419.4, 291.913, 51.5023, 306.394, 277.838, 1652.92, 357.896, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86369.8, 283.176, 51.6618, 243.053, 353.992, 1698.33, 294.715, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86328.9, 267.399, 53.6352, 205.664, 399.707, 1744.66, 259.299, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86293, 249.85, 55.1521, 164.105, 446.157, 1791.74, 219.258, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86262.6, 230.25, 51.2097, 173.357, 443.288, 1839.27, 224.566, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86231.5, 215.294, 51.1568, 154.419, 460.625, 1886.97, 205.576, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86203.1, 200.69, 51.8086, 143.142, 466.723, 1934.56, 194.951, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86176.1, 187.527, 51.1218, 106.042, 497.386, 1981.82, 157.164, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86154.4, 171.761, 51.2208, 87.2222, 506.858, 2028.57, 138.443, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86135.2, 156.554, 46.9974, 74.909, 511.654, 2074.66, 121.906, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
