Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 281.479, 210.309, 85.95, 1482.49, 0.2846, 500
1, 86596.8, 288.093, 276.143, 162.907, 152.341, 1523.75, 0.4844, 500
2, 86535.7, 291.502, 269.668, 130.16, 206.939, 1565.99, 0.5924, 500
3, 86480.2, 288.738, 261.646, 109.103, 250.978, 1609.34, 0.6812, 500
4, 86428.7, 282.455, 253.451, 94.4835, 287.131, 1653.74, 0.7246, 500
5, 86380.5, 274.233, 243.263, 83.9702, 318.962, 1699.11, 0.7606, 500
6, 86335.1, 264.758, 233.59, 77.0156, 344.279, 1745.26, 0.7656, 500
7, 86292.1, 254.85, 223.301, 71.7103, 366.047, 1792.04, 0.7966, 500
8, 86251.2, 244.742, 213.436, 66.8631, 384.511, 1839.26, 0.8126, 500
9, 86212.4, 234.599, 203.105, 62.5914, 400.576, 1886.75, 0.8206, 500
10, 86175.6, 224.447, 194.197, 57.3905, 414.013, 1934.34, 0.8038, 500
11, 86140.8, 214.358, 184.301, 54.0859, 424.561, 1981.88, 0.8282, 500
12, 86107.9, 204.447, 174.312, 50.0484, 434.105, 2029.23, 0.8276, 500
13, 86076.8, 194.568, 164.976, 46.9183, 440.428, 2076.27, 0.8354, 500
14, 86047.6, 184.93, 156.229, 44.6837, 443.729, 2122.86, 0.8464, 500
15, 86019.8, 175.694, 147.472, 42.615, 445.494, 2168.91, 0.8502, 500
16, 85993.6, 166.801, 139.408, 39.5905, 446.323, 2214.3, 0.8466, 500
17, 85968.9, 158.148, 132.65, 36.8527, 444.512, 2258.97, 0.8394, 500
18, 85945.5, 149.908, 124.33, 35.4951, 441.962, 2302.83, 0.871, 500
19, 85923.4, 141.975, 116.91, 33.0906, 438.783, 2345.81, 0.8616, 500
20, 85902.7, 134.268, 109.837, 30.8344, 434.451, 2387.87, 0.869, 500
21, 85883.3, 126.81, 102.678, 29.1787, 429.039, 2428.95, 0.8776, 500
22, 85865.2, 119.625, 96.0551, 26.8356, 423.303, 2469.01, 0.863, 500
23, 85848.2, 112.637, 89.8066, 24.6712, 416.627, 2508.03, 0.8726, 500
24, 85832.5, 105.884, 84.1455, 23.5527, 407.998, 2545.96, 0.8724, 500
25, 85817.6, 99.5452, 78.5336, 22.1988, 399.306, 2582.8, 0.8884, 500
26, 85803.7, 93.5117, 73.6786, 20.7877, 389.764, 2618.52, 0.8636, 500
27, 85790.7, 87.8196, 68.987, 19.0841, 380.274, 2653.1, 0.8868, 500
28, 85778.6, 82.3833, 64.4613, 17.3529, 370.641, 2686.56, 0.8798, 500
29, 85767.3, 77.1711, 59.9153, 16.2317, 360.467, 2718.88, 0.8802, 500
