S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 56.5029, 441.526, 77, 1482.3, 498.029, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86600.1, 287.937, 55.9333, 385.186, 147.5, 1523.37, 441.119, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86538.8, 291.668, 52.6968, 343.501, 207.964, 1565.41, 396.198, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86483.7, 288.369, 52.7661, 298.465, 268.11, 1608.57, 351.232, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86435, 279.452, 53.7645, 263.053, 315.959, 1652.81, 316.817, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86391, 267.517, 52.5132, 225.565, 365.391, 1698, 278.078, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86352.4, 252.574, 50.1126, 192.606, 408.291, 1743.97, 242.719, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86318.8, 235.702, 49.5846, 160.312, 445.128, 1790.47, 209.896, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86289.7, 217.644, 49.7569, 129.287, 476.333, 1837.25, 179.044, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86264.9, 198.914, 49.5557, 117.228, 485.309, 1884.07, 166.784, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86241.8, 182.225, 46.9943, 108.659, 489.644, 1930.65, 155.654, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86220.3, 167.327, 46.2821, 89.6986, 499.669, 1976.74, 135.981, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86201.5, 152.681, 44.3227, 70.4104, 508.979, 2022.14, 114.733, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86185.6, 138.02, 40.2105, 60.8637, 508.623, 2066.69, 101.074, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86171.6, 124.398, 36.0987, 53.3598, 504.293, 2110.24, 89.4585, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86159.2, 111.892, 35.0082, 39.9401, 501.272, 2152.65, 74.9483, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86148.9, 99.879, 33.7454, 37.2279, 486.467, 2193.81, 70.9733, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86139.1, 89.7175, 30.3326, 37.547, 469.719, 2233.63, 67.8796, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86129.7, 81.1593, 25.9604, 33.0142, 458.168, 2272.03, 58.9745, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86121.5, 73.0807, 22.7292, 33.2647, 440.442, 2308.97, 55.9939, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86113.8, 66.205, 22.5673, 33.0432, 419.981, 2344.43, 55.6105, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86106.1, 60.6507, 20.2795, 33.5998, 400.983, 2378.4, 53.8793, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86098.6, 55.9673, 20.044, 33.117, 381.341, 2410.89, 53.1609, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86091.3, 52.1207, 16.7316, 25.8256, 372.103, 2441.92, 42.5572, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86085.4, 47.5775, 15.5789, 19.3626, 360.524, 2471.54, 34.9415, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86080.6, 42.8902, 12.4177, 20.5435, 343.772, 2499.79, 32.9612, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86076, 38.8664, 12.3885, 17.7964, 328.217, 2526.7, 30.1849, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86071.9, 35.2636, 11.2809, 17.5212, 311.773, 2552.3, 28.8021, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86067.9, 32.1901, 11.1804, 18.6171, 293.503, 2576.63, 29.7975, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86063.8, 29.8686, 11.0256, 19.0815, 276.539, 2599.72, 30.1071, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86669.4, 273.317, 50.5029, 456.526, 68, 1482.3, 507.029, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86598.8, 289.189, 50.3619, 407.114, 131.143, 1523.37, 457.476, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86535.2, 294.942, 45.5484, 359.089, 199.776, 1565.41, 404.637, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86479, 292.158, 47.1938, 324.529, 248.506, 1608.59, 371.723, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86427.4, 285.326, 47.666, 289.937, 296.755, 1652.89, 337.603, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86380.6, 275.095, 47.9678, 252.586, 345.559, 1698.2, 300.553, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86338.9, 261.749, 48.0434, 216.061, 390.876, 1744.35, 264.104, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86302.3, 246, 46.8467, 184.743, 428.956, 1791.13, 231.59, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86270.2, 228.882, 43.4205, 165.827, 453.316, 1838.32, 209.248, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86241.3, 212.081, 42.8967, 134.181, 483.937, 1885.64, 177.078, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86216.8, 194.177, 43.0743, 101.771, 511.37, 1932.86, 144.845, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
