Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 146072, 460.647, 640.265, 222.635, 106.25, 2498.25, 0.685867, 842
1, 145952, 488.561, 616.612, 179.941, 195.501, 2567.47, 0.758694, 842
2, 145841, 501.571, 595.397, 151.582, 271.926, 2638.34, 0.80658, 842
3, 145737, 505.009, 578.459, 128.759, 339.223, 2711.11, 0.804086, 842
4, 145639, 502.167, 561.401, 113.762, 397.533, 2785.86, 0.830523, 842
5, 145546, 495.382, 545.865, 101.927, 448.718, 2862.48, 0.833515, 842
6, 145456, 486.099, 531.338, 92.529, 493.396, 2940.8, 0.845487, 842
7, 145369, 475.303, 515.599, 84.8857, 534.194, 3020.61, 0.839002, 842
8, 145286, 463.378, 499.913, 79.3007, 569.477, 3101.66, 0.862945, 842
9, 145206, 450.846, 484.558, 76.339, 598.42, 3183.71, 0.868432, 842
10, 145129, 438.244, 469.535, 71.887, 625.256, 3266.51, 0.862945, 842
11, 145054, 425.429, 454.181, 68.7768, 648.035, 3349.85, 0.858456, 842
12, 144981, 412.588, 439.49, 65.6, 667.347, 3433.49, 0.854466, 842
13, 144912, 399.812, 424.82, 62.1995, 684.189, 3517.24, 0.867435, 842
14, 144845, 387.063, 410.539, 58.3254, 698.648, 3600.89, 0.861449, 842
15, 144780, 374.329, 395.374, 56.5331, 709.625, 3684.29, 0.872922, 842
16, 144718, 361.774, 381.329, 54.0547, 718.047, 3767.25, 0.860451, 842
17, 144658, 349.426, 367.529, 51.3701, 724.498, 3849.64, 0.862945, 842
18, 144600, 337.252, 352.797, 49.8164, 728.998, 3931.31, 0.8819, 842
19, 144544, 325.247, 337.462, 48.7032, 732.067, 4012.14, 0.891876, 842
20, 144491, 313.357, 324.472, 45.8892, 733.047, 4092.02, 0.855962, 842
21, 144440, 301.651, 309.336, 44.8028, 733.126, 4170.83, 0.889881, 842
22, 144392, 290.036, 297.331, 42.6116, 729.99, 4248.49, 0.859952, 842
23, 144345, 278.776, 285.488, 39.1501, 726.878, 4324.92, 0.858456, 842
24, 144300, 267.649, 273.515, 37.6902, 720.958, 4400.03, 0.871924, 842
25, 144257, 256.887, 261.779, 35.637, 714.551, 4473.75, 0.869929, 842
26, 144217, 246.37, 249.585, 34.5947, 706.882, 4546.03, 0.874917, 842
27, 144178, 236.127, 237.579, 32.8058, 699.16, 4616.82, 0.891378, 842
28, 144140, 226.028, 226.907, 31.9002, 688.71, 4686.08, 0.883895, 842
29, 144105, 216.35, 216.853, 31.2633, 676.926, 4753.76, 0.876413, 842
