Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86570.7, 371.993, 381.02, 126.269, 67.74, 1482.3, 0.6246, 500
1, 86412.1, 456.201, 381.504, 101.329, 125.521, 1523.37, 0.6944, 500
2, 86261.4, 515.644, 391.551, 89.0234, 175.566, 1566.82, 0.7544, 500
3, 86111.7, 562.232, 406.074, 86.3932, 219.935, 1613.69, 0.7904, 500
4, 85958.5, 602.942, 426.391, 84.7362, 262.836, 1664.58, 0.7802, 500
5, 85799.8, 641.029, 449.296, 86.5301, 303.442, 1719.86, 0.782, 500
6, 85633.8, 678.86, 475.518, 89.5412, 342.467, 1779.81, 0.7744, 500
7, 85459.1, 717.844, 505.203, 91.827, 381.445, 1844.63, 0.7548, 500
8, 85274.8, 758.542, 536.515, 97.9285, 417.709, 1914.52, 0.7606, 500
9, 85079.4, 802.225, 571.618, 103.576, 453.513, 1989.67, 0.7302, 500
10, 84871.9, 849.245, 610.08, 109.571, 488.879, 2070.3, 0.73, 500
11, 84651.3, 899.981, 652.007, 115.759, 524.289, 2156.62, 0.7022, 500
12, 84416.6, 954.706, 698.912, 122.14, 558.71, 2248.91, 0.6756, 500
13, 84166.3, 1014.08, 749.889, 129.438, 592.822, 2347.46, 0.6576, 500
14, 83899, 1078.55, 805.077, 138.607, 626.128, 2452.62, 0.6448, 500
15, 83613.1, 1148.78, 866.658, 148.06, 658.674, 2564.75, 0.6106, 500
16, 83306.7, 1225.43, 933.313, 159.291, 691.016, 2684.27, 0.5936, 500
17, 82978, 1309.07, 1007.69, 169.979, 723.638, 2811.68, 0.5376, 500
18, 82625, 1400.17, 1091.58, 178.891, 756.839, 2947.48, 0.4802, 500
19, 82245.9, 1499.23, 1183.24, 188.923, 790.369, 3092.29, 0.4454, 500
20, 81838.4, 1606.95, 1283.83, 201.523, 822.564, 3246.76, 0.4118, 500
21, 81399.4, 1724.56, 1394.75, 214.226, 855.48, 3411.61, 0.361, 500
22, 80926.4, 1852.63, 1516.32, 229.997, 887.014, 3587.64, 0.3158, 500
23, 80416, 1992.47, 1649.15, 248.817, 917.796, 3775.74, 0.2742, 500
24, 79864.8, 2145.16, 1794.7, 270.512, 947.919, 3976.86, 0.2306, 500
25, 79269.2, 2311.77, 1952.02, 296.7, 978.221, 4192.09, 0.2138, 500
26, 78625.5, 2493.14, 2122.99, 328.293, 1007.52, 4422.58, 0.1872, 500
27, 77929.5, 2690.51, 2306.64, 369.122, 1034.61, 4669.64, 0.1926, 500
28, 77176.5, 2905.41, 2501.13, 421.996, 1060.32, 4934.67, 0.24, 500
29, 76361.8, 3138.98, 2712.5, 483.258, 1084.23, 5219.2, 0.2278, 500
