Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86550.9, 391.728, 382.28, 124.399, 68.35, 1482.3, 0.6186, 500
1, 86375, 489.36, 385.817, 99.3268, 127.158, 1523.37, 0.6874, 500
2, 86206.8, 559.643, 399.509, 89.8836, 177.045, 1567.1, 0.751, 500
3, 86037.5, 617.012, 421.272, 85.9919, 223.499, 1614.71, 0.7584, 500
4, 85862.4, 668.745, 447.703, 86.2804, 267.985, 1666.9, 0.7552, 500
5, 85678.4, 718.981, 478.439, 89.8022, 310.193, 1724.19, 0.7516, 500
6, 85483, 770.553, 514.222, 94.2966, 350.966, 1786.93, 0.7522, 500
7, 85274.3, 825.182, 553.469, 99.9143, 391.677, 1855.47, 0.7356, 500
8, 85050.7, 883.727, 597.071, 106.558, 431.82, 1930.11, 0.7166, 500
9, 84810.6, 947.125, 646.145, 114.201, 470.746, 2011.22, 0.6928, 500
10, 84551.8, 1016.47, 700.899, 121.091, 510.591, 2099.15, 0.6528, 500
11, 84272.9, 1092.07, 761.72, 130.88, 548.091, 2194.34, 0.6342, 500
12, 83971.1, 1175.5, 829.481, 140.545, 586.171, 2297.24, 0.5902, 500
13, 83644.2, 1267.26, 904.113, 151.397, 624.632, 2408.4, 0.5712, 500
14, 83289.9, 1368.09, 987.79, 162.748, 663.045, 2528.41, 0.5298, 500
15, 82905.4, 1479, 1080.88, 176.378, 700.405, 2657.95, 0.4878, 500
16, 82487.1, 1601.47, 1184.88, 190.53, 738.216, 2797.79, 0.4332, 500
17, 82031.9, 1736.43, 1300.52, 207.119, 775.306, 2948.76, 0.3916, 500
18, 81535.6, 1885.42, 1431.47, 221.491, 814.207, 3111.83, 0.3088, 500
19, 80994.8, 2049.14, 1575.7, 241.565, 850.76, 3288.05, 0.266, 500
20, 80404.2, 2229.94, 1737.29, 261.759, 888.231, 3478.63, 0.1894, 500
21, 79759.2, 2428.91, 1911.5, 294.378, 921.156, 3684.86, 0.2052, 500
22, 79053.2, 2649.1, 2104.26, 330.766, 954.429, 3908.22, 0.1562, 500
23, 78280.8, 2891.69, 2310.85, 381.336, 984.986, 4150.32, 0.1974, 500
24, 77435.2, 3158.98, 2536.77, 442.659, 1013.43, 4412.98, 0.1922, 500
25, 76509.4, 3452.92, 2780.33, 518.37, 1040.75, 4698.18, 0.244, 500
26, 75496.8, 3775, 3049.68, 603.138, 1067.25, 5008.14, 0.2094, 500
27, 74390.3, 4126.52, 3340.3, 707.867, 1089.76, 5345.29, 0.2744, 500
28, 73182, 4509.51, 3654.83, 830.677, 1110.73, 5712.29, 0.3306, 500
29, 71864.9, 4924.67, 4000.11, 968.443, 1129.85, 6112.02, 0.3428, 500
