S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 0, 89000, 2, 0.00637, 500
86669.4, 273.317, 402.52, 127.509, 45, 1482.3, 530.029, 0, 89000, 2, 0.00637, 500
86595.6, 292.389, 412.033, 96.8, 79.7857, 1523.37, 508.833, 0, 89000, 2, 0.00637, 500
86524.9, 304.638, 423.537, 71.429, 110.087, 1565.41, 494.966, 0, 89000, 2, 0.00637, 500
86456.2, 312.453, 435.933, 59.6052, 127.223, 1608.63, 495.539, 0, 89000, 2, 0.00637, 500
86387.4, 318.731, 448.539, 56.0949, 136.136, 1653.11, 504.634, 0, 89000, 2, 0.00637, 500
86317.4, 324.959, 461.123, 54.212, 143.412, 1698.88, 515.335, 0, 89000, 2, 0.00637, 500
86246, 331.367, 473.68, 52.8372, 150.168, 1745.94, 526.517, 0, 89000, 2, 0.00637, 500
86173.1, 337.983, 486.237, 42.9452, 165.442, 1794.27, 529.182, 0, 89000, 2, 0.00637, 500
86099.9, 343.583, 498.823, 41.1566, 172.625, 1843.89, 539.98, 0, 89000, 2, 0.00637, 500
86025.3, 349.492, 511.294, 39.8318, 179.294, 1894.79, 551.126, 0, 89000, 2, 0.00637, 500
85949.2, 355.695, 523.702, 46.9562, 177.488, 1946.96, 570.659, 0, 89000, 2, 0.00637, 500
85870.5, 363.284, 536.092, 44.9439, 184.81, 2000.4, 581.036, 0, 89000, 2, 0.00637, 500
85790.4, 370.714, 548.66, 46.5307, 188.609, 2055.1, 595.19, 0, 89000, 2, 0.00637, 500
85708.4, 378.532, 561.37, 49.4499, 191.137, 2111.09, 610.82, 0, 89000, 2, 0.00637, 500
85624.4, 386.858, 574.266, 44.6296, 201.484, 2168.37, 618.896, 0, 89000, 2, 0.00637, 500
85539.3, 394.547, 587.407, 48.6533, 203.093, 2226.97, 636.061, 0, 89000, 2, 0.00637, 500
85452, 402.97, 600.686, 55.8509, 201.586, 2286.91, 656.537, 0, 89000, 2, 0.00637, 500
85361.9, 412.428, 614.196, 56.0397, 207.187, 2348.2, 670.236, 0, 89000, 2, 0.00637, 500
85270.1, 421.777, 628.065, 58.7826, 210.388, 2410.88, 686.847, 0, 89000, 2, 0.00637, 500
85176.1, 431.43, 642.252, 53.8904, 221.36, 2474.96, 696.142, 0, 89000, 2, 0.00637, 500
85080.9, 440.32, 656.777, 56.9269, 224.549, 2540.5, 713.704, 0, 89000, 2, 0.00637, 500
84983.5, 449.724, 671.509, 52.2799, 235.51, 2607.52, 723.789, 0, 89000, 2, 0.00637, 500
84884.7, 458.511, 686.505, 59.5291, 234.688, 2676.04, 746.034, 0, 89000, 2, 0.00637, 500
84783.1, 468.457, 701.661, 57.7877, 242.924, 2746.09, 759.449, 0, 89000, 2, 0.00637, 500
84679.7, 478.118, 717.126, 57.7674, 249.572, 2817.69, 774.894, 0, 89000, 2, 0.00637, 500
84574.4, 487.82, 732.84, 59.3283, 254.746, 2890.87, 792.168, 0, 89000, 2, 0.00637, 500
84466.9, 497.795, 748.789, 62.3597, 258.55, 2965.65, 811.148, 0, 89000, 2, 0.00637, 500
84356.9, 508.213, 764.995, 66.7732, 261.082, 3042.05, 831.768, 0, 89000, 2, 0.00637, 500
84244.3, 519.195, 781.502, 57.4964, 277.433, 3120.11, 838.999, 0, 89000, 2, 0.00637, 500
84130.8, 528.808, 798.368, 64.5412, 277.616, 3199.86, 862.909, 0, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 1, 89000, 2, 0.00637, 500
86669.4, 273.317, 402.52, 127.509, 45, 1482.3, 530.029, 1, 89000, 2, 0.00637, 500
86595.6, 292.389, 412.033, 103.8, 72.7857, 1523.37, 515.833, 1, 89000, 2, 0.00637, 500
86523.9, 305.611, 423.537, 84.929, 96.5867, 1565.41, 508.466, 1, 89000, 2, 0.00637, 500
86453.3, 315.106, 436.07, 69.1993, 117.688, 1608.63, 505.269, 1, 89000, 2, 0.00637, 500
86383.2, 322.201, 449.037, 64.1629, 128.281, 1653.13, 513.2, 1, 89000, 2, 0.00637, 500
86312, 328.919, 462.071, 69.9118, 128.118, 1698.95, 531.983, 1, 89000, 2, 0.00637, 500
86238.3, 336.837, 475.114, 63.6533, 139.967, 1746.1, 538.768, 1, 89000, 2, 0.00637, 500
86163.8, 344.049, 488.335, 50.3169, 158.969, 1794.58, 538.652, 1, 89000, 2, 0.00637, 500
86089.3, 349.737, 501.621, 51.3657, 163.615, 1844.41, 552.986, 1, 89000, 2, 0.00637, 500
86012.8, 356.204, 514.754, 49.6809, 170.928, 1895.59, 564.435, 1, 89000, 2, 0.00637, 500
85934.9, 362.89, 527.854, 52.5045, 173.719, 1948.12, 580.359, 1, 89000, 2, 0.00637, 500
85854.9, 370.365, 540.955, 53.5276, 178.31, 2001.98, 594.482, 1, 89000, 2, 0.00637, 500
85772.9, 378.217, 554.166, 50.9261, 186.574, 2057.18, 605.093, 1, 89000, 2, 0.00637, 500
85689.6, 385.881, 567.533, 48.9816, 194.247, 2113.73, 616.515, 1, 89000, 2, 0.00637, 500
85604.8, 393.503, 581.019, 44.6358, 204.372, 2171.64, 625.654, 1, 89000, 2, 0.00637, 500
85518.9, 400.772, 594.608, 45.0577, 209.774, 2230.93, 639.665, 1, 89000, 2, 0.00637, 500
85431.1, 408.424, 608.244, 50.8856, 209.79, 2291.6, 659.129, 1, 89000, 2, 0.00637, 500
85340.7, 417.124, 621.977, 48.7563, 217.805, 2353.67, 670.733, 1, 89000, 2, 0.00637, 500
85248.8, 425.579, 635.948, 52.3012, 220.248, 2417.14, 688.249, 1, 89000, 2, 0.00637, 500
85154.6, 434.64, 650.104, 51.1001, 227.516, 2482.03, 701.204, 1, 89000, 2, 0.00637, 500
85058.8, 443.556, 664.518, 56.5285, 228.265, 2548.37, 721.046, 1, 89000, 2, 0.00637, 500
84960.3, 453.29, 679.15, 57.1041, 233.96, 2616.17, 736.254, 1, 89000, 2, 0.00637, 500
84859.9, 463.037, 694.1, 56.2227, 241.249, 2685.48, 750.322, 1, 89000, 2, 0.00637, 500
84757.7, 472.632, 709.346, 64.989, 239.017, 2756.3, 774.335, 1, 89000, 2, 0.00637, 500
84652.4, 483.452, 724.847, 62.7049, 247.944, 2828.68, 787.552, 1, 89000, 2, 0.00637, 500
84545.4, 493.773, 740.756, 56.2331, 261.234, 2902.65, 796.989, 1, 89000, 2, 0.00637, 500
84437.2, 503.176, 756.973, 63.8429, 260.574, 2978.24, 820.816, 1, 89000, 2, 0.00637, 500
84326, 513.788, 773.348, 59.4732, 271.962, 3055.48, 832.821, 1, 89000, 2, 0.00637, 500
84213.2, 523.757, 790.039, 58.0524, 280.536, 3134.39, 848.092, 1, 89000, 2, 0.00637, 500
84098.6, 533.645, 806.934, 63.3312, 282.498, 3215.01, 870.265, 1, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 2, 89000, 2, 0.00637, 500
86669.4, 273.317, 402.52, 135.509, 37, 1482.3, 538.029, 2, 89000, 2, 0.00637, 500
86594.5, 293.502, 412.033, 103.229, 73.3571, 1523.37, 515.262, 2, 89000, 2, 0.00637, 500
86522.9, 306.421, 423.693, 80.4652, 101.117, 1565.41, 504.158, 2, 89000, 2, 0.00637, 500
