Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86669.4, 273.317, 382.74, 132.329, 59.96, 1482.3, 0.5978, 500
1, 86597.7, 290.308, 374.136, 104.166, 110.317, 1523.37, 0.582, 500
2, 86531.2, 298.731, 367.565, 83.2137, 153.857, 1565.41, 0.602, 500
3, 86468.6, 301.595, 360.073, 70.4838, 190.638, 1608.6, 0.6648, 500
4, 86408.9, 301.035, 354.667, 61.4049, 221.071, 1652.97, 0.6554, 500
5, 86351.1, 298.536, 347.578, 54.4609, 249.8, 1698.48, 0.6896, 500
6, 86295.4, 294.553, 339.966, 50.003, 275.017, 1745.04, 0.734, 500
7, 86241.4, 289.66, 334.68, 45.1646, 296.553, 1792.54, 0.6586, 500
8, 86188.8, 284.309, 329.597, 43.2681, 313.151, 1840.86, 0.6544, 500
9, 86137.2, 279.031, 323.208, 41.5661, 329.103, 1889.86, 0.6756, 500
10, 86086.8, 273.659, 316.136, 39.8389, 344.145, 1939.42, 0.6866, 500
11, 86037.6, 268.116, 308.807, 38.3828, 357.654, 1989.43, 0.7068, 500
12, 85989.7, 262.44, 300.925, 37.1381, 370.057, 2039.77, 0.727, 500
13, 85943, 256.612, 294.412, 35.7618, 379.854, 2090.35, 0.6798, 500
14, 85897.5, 250.837, 288.289, 35.0441, 387.302, 2141.07, 0.6706, 500
15, 85852.9, 245.249, 281.204, 33.5112, 395.327, 2191.83, 0.7136, 500
16, 85809.5, 239.568, 274.833, 32.1825, 401.36, 2242.55, 0.6864, 500
17, 85767.2, 233.941, 267.881, 31.8478, 405.961, 2293.14, 0.7, 500
18, 85726, 228.415, 262.509, 31.1194, 408.444, 2343.55, 0.6636, 500
19, 85685.6, 223.135, 257.316, 29.8915, 410.399, 2393.7, 0.635, 500
20, 85646.1, 218.008, 251.525, 29.2045, 411.675, 2443.53, 0.6614, 500
21, 85607.5, 212.999, 245.27, 28.0189, 413.26, 2492.99, 0.6596, 500
22, 85569.9, 207.951, 240.011, 27.0475, 413.051, 2542.03, 0.6602, 500
23, 85533.2, 203.04, 234.03, 26.3726, 412.718, 2590.6, 0.6562, 500
24, 85497.5, 198.183, 227.899, 26.2713, 411.478, 2638.68, 0.6728, 500
25, 85462.6, 193.426, 222.126, 25.5757, 410.036, 2686.23, 0.6684, 500
26, 85428.6, 188.719, 216.37, 25.0344, 408.038, 2733.21, 0.6642, 500
27, 85395.5, 184.076, 210.786, 24.2894, 405.723, 2779.6, 0.649, 500
28, 85363.3, 179.481, 203.5, 23.649, 404.692, 2825.37, 0.7034, 500
29, 85332.2, 174.708, 198.372, 23.7787, 400.456, 2870.5, 0.657, 500
