Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 68797.9, 2020.66, 3153.69, 1257.5, 102.38, 13667.9, 0.0878, 500
1, 68310.8, 2103.66, 3204.62, 1193.47, 197.217, 13990.3, 0.1008, 500
2, 67828.5, 2165.17, 3262.52, 1139.38, 285.9, 14318.5, 0.106, 500
3, 67349.3, 2211.39, 3325.51, 1094.82, 365.669, 14653.3, 0.1026, 500
4, 66871.4, 2246.97, 3390.9, 1054.08, 441.43, 14995.2, 0.094, 500
5, 66394.3, 2274.69, 3453.81, 1021.05, 511.919, 15344.2, 0.1248, 500
6, 65917.4, 2296.65, 3516.87, 991.405, 577.243, 15700.4, 0.1166, 500
7, 65440.4, 2314.32, 3578.05, 964.99, 638.552, 16063.7, 0.1246, 500
8, 64963.2, 2328.66, 3635.85, 942.991, 695.501, 16433.8, 0.141, 500
9, 64485.8, 2340.39, 3693.52, 922.624, 747.192, 16810.5, 0.1152, 500
10, 64007.9, 2350.12, 3748.19, 905.426, 794.701, 17193.6, 0.1234, 500
11, 63529.8, 2358.21, 3799.36, 890.11, 839.707, 17582.8, 0.1316, 500
12, 63051.6, 2364.78, 3847.93, 877.183, 880.768, 17977.7, 0.133, 500
13, 62573.4, 2370.03, 3893.73, 864.724, 919.966, 18378.1, 0.1378, 500
14, 62095.5, 2373.96, 3935.11, 856.52, 955.194, 18783.7, 0.162, 500
15, 61617.9, 2376.76, 3975.36, 847.587, 988.176, 19194.2, 0.1418, 500
16, 61140.9, 2378.42, 4012.94, 839.911, 1018.54, 19609.3, 0.1382, 500
17, 60664.6, 2378.99, 4048.31, 831.892, 1047.49, 20028.7, 0.1408, 500
18, 60189.4, 2378.4, 4080.97, 824.54, 1074.58, 20452.1, 0.142, 500
19, 59715.5, 2376.65, 4109.58, 818.059, 1100.97, 20879.3, 0.1646, 500
20, 59243.2, 2373.64, 4136.53, 812.845, 1123.95, 21309.9, 0.1546, 500
21, 58772.5, 2369.56, 4162.3, 806.733, 1145.22, 21743.7, 0.138, 500
22, 58303.7, 2364.42, 4182.66, 804.603, 1164.17, 22180.4, 0.179, 500
23, 57837, 2358.27, 4201.48, 803.086, 1180.36, 22619.8, 0.1708, 500
24, 57372.4, 2351.22, 4217.59, 799.559, 1197.65, 23061.6, 0.173, 500
25, 56910.4, 2343, 4231.24, 795.911, 1213.98, 23505.5, 0.177, 500
26, 56451.2, 2333.62, 4243.98, 790.77, 1229.18, 23951.3, 0.1652, 500
27, 55994.9, 2323.1, 4252.18, 789.684, 1241.37, 24398.7, 0.1942, 500
28, 55541.8, 2311.64, 4262.44, 781.834, 1254.77, 24847.5, 0.1392, 500
29, 55092.1, 2299.02, 4271.02, 774.177, 1266.25, 25297.4, 0.1316, 500
