Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 85748.7, 342.225, 482.46, 166.851, 72.86, 2186.86, 0.6154, 500
1, 85659.4, 363.15, 469.29, 135.837, 133.906, 2238.44, 0.6994, 500
2, 85576.2, 373.722, 457.69, 114.723, 186.461, 2291.23, 0.7536, 500
3, 85497.5, 377.605, 446.219, 100.732, 232.462, 2345.43, 0.7978, 500
4, 85422.5, 377.145, 435.021, 89.5833, 274.658, 2401.11, 0.8144, 500
5, 85350.6, 373.647, 425.149, 82.2532, 310.199, 2458.2, 0.8262, 500
6, 85281, 368.431, 415.741, 76.0968, 342.092, 2516.6, 0.8352, 500
7, 85213.7, 362.071, 405.986, 71.1472, 370.917, 2576.16, 0.8536, 500
8, 85148.5, 354.919, 396.167, 67.1195, 396.603, 2636.74, 0.8506, 500
9, 85085.1, 347.255, 385.368, 64.2904, 419.794, 2698.16, 0.8592, 500
10, 85023.7, 339.215, 375.397, 62.0835, 439.319, 2760.26, 0.866, 500
11, 84964, 331.077, 365.023, 60.1819, 456.809, 2822.89, 0.8672, 500
12, 84906, 322.85, 354.431, 58.6978, 472.1, 2885.89, 0.8722, 500
13, 84849.7, 314.583, 344.104, 55.3461, 487.118, 2949.12, 0.8656, 500
14, 84795.3, 306.07, 334.806, 52.1278, 499.224, 3012.45, 0.8546, 500
15, 84742.7, 297.52, 324.511, 50.6886, 508.875, 3075.75, 0.8806, 500
16, 84691.6, 289.052, 314.605, 48.2292, 517.597, 3138.89, 0.8744, 500
17, 84642.3, 280.565, 304.19, 45.4473, 525.716, 3201.78, 0.8706, 500
18, 84594.8, 271.954, 294.022, 43.995, 530.925, 3264.31, 0.8836, 500
19, 84548.9, 263.461, 282.994, 43.1698, 535.102, 3326.38, 0.8974, 500
20, 84504.6, 255.033, 273.254, 41.9639, 537.22, 3387.89, 0.8732, 500
21, 84461.9, 246.782, 263.711, 39.7284, 539.117, 3448.78, 0.878, 500
22, 84420.7, 238.563, 254.354, 37.6476, 539.729, 3508.97, 0.8774, 500
23, 84381.2, 230.418, 245.155, 35.5823, 539.297, 3568.37, 0.885, 500
24, 84343.2, 222.358, 236.692, 34.2158, 536.636, 3626.95, 0.8904, 500
25, 84306.5, 214.562, 227.516, 32.7233, 534.094, 3684.63, 0.8874, 500
26, 84271.3, 206.865, 217.953, 31.2896, 531.265, 3741.37, 0.8878, 500
27, 84237.5, 199.205, 208.126, 30.7665, 527.237, 3797.12, 0.9062, 500
28, 84205.2, 191.665, 199.729, 29.4512, 522.068, 3851.84, 0.8912, 500
29, 84174.3, 184.307, 191.275, 27.3875, 517.257, 3905.5, 0.8988, 500
