Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86560.9, 257.344, 356.84, 122.069, 62.72, 1640.14, 0.6896, 500
1, 86494.3, 272.416, 343.18, 96.1201, 115.11, 1678.83, 0.7562, 500
2, 86433.4, 278.923, 329.325, 80.3093, 159.658, 1718.43, 0.8226, 500
3, 86376.5, 279.97, 317.881, 68.9083, 197.624, 1759.1, 0.8406, 500
4, 86322.9, 277.603, 307.701, 60.7645, 230.198, 1800.84, 0.8536, 500
5, 86271.8, 273.137, 297.347, 54.6403, 259.435, 1843.6, 0.868, 500
6, 86223.1, 267.252, 287.767, 49.8357, 284.774, 1887.27, 0.863, 500
7, 86176.4, 260.526, 278.657, 46.5811, 306.133, 1931.73, 0.8692, 500
8, 86131.4, 253.409, 269.877, 42.9854, 325.516, 1976.83, 0.8684, 500
9, 86088.1, 245.981, 260.447, 40.2496, 342.765, 2022.43, 0.8806, 500
10, 86046.6, 238.336, 251.081, 37.8235, 357.792, 2068.39, 0.8818, 500
11, 86006.7, 230.571, 242.284, 36.9419, 368.945, 2114.58, 0.89, 500
12, 85968.1, 223.005, 234.148, 34.4175, 379.422, 2160.88, 0.868, 500
13, 85931.1, 215.463, 224.994, 33.0194, 388.291, 2207.16, 0.8896, 500
14, 85895.5, 207.958, 216.608, 32.0686, 394.556, 2253.33, 0.889, 500
15, 85861.2, 200.652, 208, 30.8655, 400.013, 2299.27, 0.8954, 500
16, 85828.3, 193.442, 199.344, 28.55, 405.481, 2344.91, 0.883, 500
17, 85796.9, 186.149, 190.607, 27.6272, 408.588, 2390.15, 0.8992, 500
18, 85766.8, 178.974, 182.973, 26.3628, 409.943, 2434.92, 0.8954, 500
19, 85738, 171.997, 174.28, 25.4082, 411.151, 2479.15, 0.902, 500
20, 85710.5, 165.079, 166.791, 23.8231, 410.993, 2522.79, 0.8924, 500
21, 85684.3, 158.287, 158.468, 22.8162, 410.367, 2565.76, 0.903, 500
22, 85659.4, 151.562, 152.029, 21.5937, 407.425, 2608.02, 0.8988, 500
23, 85635.5, 145.122, 144.649, 20.365, 404.843, 2649.52, 0.8992, 500
24, 85612.8, 138.78, 137.714, 19.4177, 401.046, 2690.23, 0.9048, 500
25, 85591.2, 132.616, 131.506, 18.3875, 396.169, 2730.1, 0.9044, 500
26, 85570.6, 126.686, 125.699, 17.2111, 390.672, 2769.1, 0.9094, 500
27, 85551, 120.978, 119.617, 16.6029, 384.587, 2807.21, 0.9096, 500
28, 85532.3, 115.488, 113.17, 16.0557, 378.576, 2844.41, 0.9094, 500
29, 85514.6, 110.131, 107.584, 15.2481, 371.795, 2880.69, 0.917, 500
