Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86629.9, 312.787, 379.75, 130.139, 65.14, 1482.3, 0.676, 500
1, 86523.5, 356.582, 371.066, 106.73, 118.717, 1523.37, 0.7524, 500
2, 86424, 384.802, 366.832, 91.7717, 166.617, 1565.98, 0.7982, 500
3, 86328.6, 403.269, 366.792, 81.4746, 209.256, 1610.64, 0.7994, 500
4, 86235.4, 415.789, 368.26, 76.3912, 246.559, 1657.6, 0.8364, 500
5, 86143.1, 424.954, 371.367, 71.532, 282.098, 1706.97, 0.8196, 500
6, 86051.2, 431.823, 374.254, 69.3398, 314.608, 1758.76, 0.8366, 500
7, 85959.3, 437.365, 377.167, 69.7364, 343.506, 1812.92, 0.8484, 500
8, 85866.8, 442.384, 380.737, 69.3871, 371.3, 1869.37, 0.8368, 500
9, 85773.8, 446.967, 385.026, 68.4439, 397.758, 1928.05, 0.8388, 500
10, 85680.1, 451.222, 389.369, 68.8031, 421.647, 1988.85, 0.8448, 500
11, 85585.6, 455.495, 394.468, 68.7319, 444.019, 2051.69, 0.83, 500
12, 85490.1, 459.844, 398.381, 70.2922, 464.844, 2116.49, 0.8606, 500
13, 85393.7, 464.344, 402.554, 71.982, 484.271, 2183.17, 0.8428, 500
14, 85296.1, 469.04, 408.078, 71.511, 503.6, 2251.66, 0.825, 500
15, 85197.6, 473.723, 412.795, 70.6355, 523.338, 2321.89, 0.8182, 500
16, 85098.5, 478.143, 417.551, 72.0535, 539.997, 2393.8, 0.8362, 500
17, 84998.1, 482.829, 422.356, 72.4054, 556.926, 2467.34, 0.8302, 500
18, 84896.9, 487.514, 427.574, 73.1233, 572.436, 2542.46, 0.821, 500
19, 84794.5, 492.355, 432.785, 74.5411, 586.657, 2619.12, 0.8338, 500
20, 84691, 497.457, 439.291, 74.518, 600.503, 2697.26, 0.821, 500
21, 84586.2, 502.734, 444.567, 76.7127, 612.93, 2776.85, 0.8388, 500
22, 84480, 508.347, 450.285, 78.1473, 625.309, 2857.87, 0.8326, 500
23, 84372.6, 514.158, 454.971, 81.0061, 637.024, 2940.28, 0.848, 500
24, 84263.7, 520.203, 461.795, 80.7295, 649.523, 3024.06, 0.8088, 500
25, 84153.6, 526.226, 468.618, 81.8353, 660.488, 3109.21, 0.822, 500
26, 84042.1, 532.506, 475.957, 82.3634, 671.37, 3195.7, 0.809, 500
27, 83929.1, 538.974, 482.201, 85.7807, 680.375, 3283.54, 0.8354, 500
28, 83814.4, 545.948, 489.064, 87.5819, 690.337, 3372.71, 0.824, 500
29, 83698, 553.118, 497.124, 87.9929, 700.557, 3463.21, 0.797, 500
