S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 379.52, 159.509, 36, 1482.3, 539.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86594.4, 293.641, 363.676, 153.514, 71.4286, 1523.37, 517.19, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86522.5, 306.8, 354.809, 149.167, 101.327, 1565.41, 503.976, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86452.5, 315.433, 349.418, 146.921, 127.089, 1608.65, 496.338, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86383.6, 321.222, 337.62, 143.352, 161.011, 1653.18, 480.972, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86316.9, 323.668, 340.475, 142.386, 177.51, 1699.04, 482.861, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86250, 325.835, 336.469, 142.636, 198.831, 1746.2, 479.105, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86183.7, 326.997, 334.052, 143.998, 216.629, 1794.63, 478.05, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86117.6, 327.729, 333.971, 138.332, 238.155, 1844.25, 472.303, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86052.3, 327.47, 326.998, 140.115, 258.144, 1895, 467.113, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85987.8, 326.496, 329.487, 141.755, 267.705, 1946.8, 471.242, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85922.7, 326.239, 332.661, 143.219, 275.584, 1999.58, 475.881, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85857.1, 326.623, 330.573, 147.564, 284.899, 2053.26, 478.137, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85791.2, 327.192, 329.688, 145.621, 298.549, 2107.76, 475.309, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85725.7, 327.207, 326.946, 143.851, 313.224, 2163.04, 470.797, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85661, 326.548, 326.402, 143.208, 323.851, 2219.04, 469.61, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85596.4, 325.808, 327.804, 142.572, 331.719, 2275.71, 470.376, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
