S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity,group_number
86669.4, 273.317, 391.52, 166.509, 17, 1482.3, 558.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86591.7, 296.284, 391.819, 165.014, 31.7857, 1523.37, 556.833, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86514.3, 314.423, 396.312, 170.005, 39.5153, 1565.41, 566.316, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86435.7, 330.181, 404.023, 173.727, 47.6928, 1608.69, 577.75, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86355.5, 344.302, 413.389, 175.129, 58.2862, 1653.36, 588.518, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86274, 357.018, 419.064, 177.278, 73.1229, 1699.56, 596.341, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86191.4, 368.196, 433.113, 181.036, 78.8998, 1747.38, 614.149, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86106.4, 379.524, 440.724, 185.197, 91.2641, 1796.88, 625.921, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86019.9, 390.129, 450.377, 191.74, 99.7452, 1848.11, 642.117, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85931.2, 400.763, 462.826, 199.452, 104.621, 1901.1, 662.277, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85839.9, 411.959, 475.873, 204.251, 112.148, 1955.88, 680.124, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85746.2, 423.278, 493.557, 212.379, 112.137, 2012.47, 705.936, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85649, 435.783, 510.562, 218.606, 115.127, 2070.9, 729.167, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85548.8, 448.871, 522.103, 221.138, 127.904, 2131.21, 743.241, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85446.7, 461.157, 539.652, 226.275, 132.768, 2193.44, 765.926, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85341.7, 473.975, 556.667, 235.782, 134.285, 2257.63, 792.449, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
