S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity,group_number
86669.4, 273.317, 394.52, 130.509, 50, 1482.3, 525.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86596.3, 291.694, 402.605, 92.5857, 93.4286, 1523.37, 495.19, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86527.5, 302.186, 410.684, 76.474, 117.755, 1565.41, 487.158, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86459.8, 309.409, 414.656, 64.1427, 143.344, 1608.62, 478.798, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86393.4, 313.975, 425.355, 62.1257, 152.105, 1653.06, 487.48, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86325.8, 318.78, 430.929, 59.5266, 166.241, 1698.74, 490.455, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86257.8, 322.984, 440.777, 50.4015, 182.366, 1745.65, 491.179, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86189.8, 326.394, 447.511, 42.1805, 200.34, 1793.76, 489.692, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86122.1, 328.862, 456.241, 41.7512, 208.03, 1843.05, 497.992, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86053.2, 331.931, 468.693, 39.5007, 213.171, 1893.48, 508.194, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85983, 335.74, 478.685, 43.5951, 213.944, 1945.01, 522.28, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85910.9, 340.674, 485.497, 44.6256, 220.663, 1997.59, 530.123, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85837.8, 345.643, 493.513, 41.8785, 229.901, 2051.22, 535.392, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85764.1, 350.281, 501.652, 41.6257, 236.479, 2105.88, 543.278, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85689.3, 355.014, 508.859, 43.6693, 241.588, 2161.58, 552.529, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
