Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 380.886, 133.221, 63.63, 1482.49, 0.6918, 500
1, 86593.7, 291.198, 367.704, 104.781, 118.905, 1523.75, 0.7412, 500
2, 86528, 298.631, 354.537, 88.1189, 164.732, 1565.99, 0.8012, 500
3, 86466.5, 300.385, 343.311, 75.2125, 205.205, 1609.38, 0.8248, 500
4, 86408.4, 298.395, 332.813, 66.3733, 240.068, 1653.93, 0.8432, 500
5, 86353.1, 294.082, 323.096, 60.2561, 269.92, 1699.59, 0.863, 500
6, 86299.9, 288.401, 313.639, 54.837, 296.95, 1746.26, 0.8556, 500
7, 86248.9, 281.764, 304.493, 50.2141, 320.869, 1793.79, 0.8614, 500
8, 86199.8, 274.517, 295.07, 46.4632, 342.14, 1842.04, 0.8734, 500
9, 86152.5, 266.869, 285.066, 44.8554, 359.821, 1890.87, 0.885, 500
10, 86106.9, 259.118, 275.156, 43.9636, 374.73, 1940.14, 0.8982, 500
11, 86062.8, 251.401, 265.918, 41.7604, 388.434, 1989.7, 0.8758, 500
12, 86020.3, 243.624, 256.46, 40.0516, 400.158, 2039.42, 0.8972, 500
13, 85979.3, 235.84, 247.709, 38.7882, 409.136, 2089.19, 0.8888, 500
14, 85939.8, 228.211, 238.413, 36.628, 418.072, 2138.88, 0.8908, 500
15, 85901.9, 220.509, 228.993, 35.2044, 425.049, 2188.38, 0.8938, 500
16, 85865.4, 212.836, 220.178, 33.1104, 430.829, 2237.62, 0.8892, 500
17, 85830.5, 205.178, 211.768, 31.3455, 434.705, 2286.48, 0.8778, 500
18, 85797, 197.636, 203.556, 29.6872, 437.195, 2334.9, 0.8942, 500
19, 85764.9, 190.23, 194.986, 28.0948, 438.997, 2382.78, 0.9012, 500
20, 85734.2, 182.894, 187.73, 26.2618, 438.84, 2430.08, 0.8866, 500
21, 85704.8, 175.763, 179.816, 25.2496, 437.714, 2476.71, 0.9, 500
22, 85676.5, 168.821, 171.609, 24.4418, 435.969, 2522.62, 0.9, 500
23, 85649.6, 162.018, 163.436, 23.4452, 433.758, 2567.76, 0.9122, 500
24, 85623.9, 155.306, 155.584, 22.2816, 430.845, 2612.1, 0.9098, 500
25, 85599.4, 148.69, 148.484, 20.9284, 426.881, 2655.57, 0.9014, 500
26, 85576.2, 142.229, 141.665, 19.8849, 421.889, 2698.17, 0.8916, 500
27, 85554, 135.973, 134.998, 18.9283, 416.284, 2739.84, 0.8982, 500
28, 85532.8, 129.916, 128.781, 18.0747, 409.82, 2780.57, 0.9098, 500
29, 85512.7, 124.095, 122.521, 16.9186, 403.457, 2820.33, 0.8976, 500
