Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 115.107, 362.57, 100.06, 1482.49, 0.0466, 500
1, 86598.7, 286.13, 117.339, 282.848, 191.203, 1523.75, 0.0516, 500
2, 86543.1, 284.531, 118.083, 224.315, 263.976, 1565.99, 0.1994, 500
3, 86495.5, 275.189, 117.14, 179.348, 323.48, 1609.31, 0.3412, 500
4, 86454.4, 261.314, 113.97, 148.047, 368.704, 1653.59, 0.4578, 500
5, 86418, 245.412, 109.412, 124.953, 403.568, 1698.64, 0.5346, 500
6, 86385.5, 228.839, 104.554, 106.684, 430.212, 1744.21, 0.5972, 500
7, 86356.2, 212.361, 98.289, 94.1776, 448.933, 1790.03, 0.6444, 500
8, 86329.5, 196.567, 91.6228, 82.5084, 463.926, 1835.84, 0.6804, 500
9, 86305.4, 181.383, 85.251, 72.0558, 474.488, 1881.42, 0.702, 500
10, 86283.6, 166.899, 78.497, 65.3103, 479.136, 1926.54, 0.7278, 500
11, 86263.7, 153.436, 72.026, 58.259, 481.542, 1971.04, 0.7528, 500
12, 86245.7, 140.788, 65.7487, 52.2674, 480.796, 2014.74, 0.7706, 500
13, 86229.3, 128.968, 59.6139, 47.0101, 477.574, 2057.51, 0.7818, 500
14, 86214.6, 117.932, 54.4045, 42.1672, 471.691, 2099.24, 0.7962, 500
15, 86201.2, 107.71, 49.4058, 38.7144, 463.139, 2139.83, 0.7982, 500
16, 86189, 98.3606, 45.0452, 35.7127, 452.668, 2179.21, 0.8136, 500
17, 86177.8, 89.8609, 41.1421, 32.5195, 441.334, 2217.31, 0.8194, 500
18, 86167.6, 82.0781, 36.9578, 29.2844, 429.941, 2254.1, 0.8264, 500
19, 86158.5, 74.8244, 33.5311, 26.5951, 417.031, 2289.54, 0.8234, 500
20, 86150.2, 68.1747, 29.999, 23.8474, 404.193, 2323.62, 0.8496, 500
21, 86142.7, 61.9858, 26.9032, 21.522, 390.532, 2356.34, 0.8476, 500
22, 86136, 56.2843, 24.051, 19.3224, 376.627, 2387.69, 0.8486, 500
23, 86130, 51.0242, 21.5444, 17.7477, 361.965, 2417.69, 0.8422, 500
24, 86124.6, 46.2515, 19.2765, 15.7939, 347.73, 2446.35, 0.8524, 500
25, 86119.7, 41.8493, 17.5197, 14.206, 332.982, 2473.7, 0.8566, 500
26, 86115.4, 37.865, 15.7022, 12.7472, 318.578, 2499.75, 0.8466, 500
27, 86111.4, 34.2244, 14.1552, 11.3951, 304.262, 2524.53, 0.8578, 500
28, 86107.9, 30.9111, 12.6231, 10.547, 289.929, 2548.09, 0.8602, 500
29, 86104.7, 27.9313, 11.2379, 9.59946, 276.08, 2570.46, 0.8582, 500
